"Orig_ID","Month","Day","Year","demog_state","demog_state_region","demog_age_list","gw_belief","believer_confidence","believer_cause","believer_problem","believer_immediacy","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_algore","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","nonbeliever_factor_open","nonbeliever_factor_open_coded","gw_noevidence","gw_scioverstate","gw_earthtoobig","gw_nattrend","gw_mediaoverstate","govt_fed","govt_state","govt_local","state_neighborsact","govt_nostateaction","state_rps_economy","state_impactsfelt","state_rps_neighbr","religion_govtaction","religion_govtactionexplain","state_rps_knowledge","state_cleancoal","state_vehicles_v1","state_hybrids","state_fftax","state_nuclear","state_captrade","state_rps_v1","state_sprawl","state_ee","state_gastax","state_vehicles_v2","state_ethanol","willing2pay_list","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_income","demog_gender","GenWeight","RaceWeight","EdWeight","AgeWeight","Weight"
1,9,8,2008,,2,3,98,,,,,,,,,,,,,,,,,98,98,98,98,98,98,98,98,98,98,98,98,98,98,,98,98,98,98,98,98,98,98,98,98,98,98,98,98,2,6,,1,1,1,,2,0.07,1,1,0.12,2.19
2,9,8,2008,,2,3,2,,,,,,,,,,,,,,,"TEMPERATURE WENT UP",1,2,2,98,2,2,2,2,2,3,4,2,2,4,3,,2,3,3,3,2,3,2,2,2,3,4,2,3,98,1,,,3,1,2,3,2,0.07,0.06,0.3,0.12,0.55
3,9,8,2008,,2,3,1,1,2,2,2,"NORTH AND SOUTH POLES GLACIERS RECEDING",1,2,2,2,3,4,3,2,2,,,4,3,2,1,2,3,3,3,2,3,2,2,2,4,,2,2,4,4,4,2,4,4,4,4,4,4,4,4,1,1,1,4,5,2,6,1,0.58,0.06,0.13,0.12,0.885
4,9,8,2008,,1,2,1,2,3,1,1,"NOTICING CHANGES IN WEATHER ALLERGIC REACTIONS AIR QUALITY",2,3,2,2,1,4,1,2,1,,,3,4,4,4,4,1,1,1,4,1,1,2,4,1,1,98,1,1,1,2,98,2,1,1,1,1,2,1,4,1,2,,4,1,4,3,2,0.07,0.06,0.13,0.35,0.61
5,9,8,2008,,1,3,1,1,1,1,2,"MELTING OF ICEBERGS",1,1,2,98,1,98,1,1,1,,,4,4,4,4,4,2,2,2,4,2,2,2,2,4,,98,98,1,98,4,4,4,4,98,1,4,1,4,2,1,2,,2,2,2,2,2,0.07,0.06,0.75,0.12,1
6,9,8,2008,,2,5,1,2,3,3,2,"OCEANS ARE RISING",10,1,2,98,3,98,4,2,4,,,2,2,4,4,2,2,2,2,4,4,2,2,3,4,,2,2,1,4,4,1,4,1,4,1,4,4,1,1,1,6,,3,1,3,3,2,0.07,0.06,0.3,0.25,0.68
7,9,8,2008,,1,3,1,1,1,1,1,"POLAR ICE CAPS ARE MELTING",1,1,1,98,1,1,1,1,98,,,4,4,4,3,4,1,1,2,3,3,1,2,2,4,,2,4,1,1,3,4,3,1,4,1,4,1,2,6,1,,,4,5,1,98,2,0.07,0.06,0.13,0.12,0.38
8,9,8,2008,,3,4,1,1,1,1,2,"TV PROGRAMS",6,1,4,4,3,3,3,1,4,,,2,4,1,4,4,1,2,2,3,1,1,4,4,1,98,2,1,1,1,3,98,98,1,1,1,4,4,1,98,1,1,2,2,1,4,,2,0.07,0.06,0.75,0.1,0.98
9,9,8,2008,,3,3,1,2,2,3,2,"WHAT I AM READING AND HEARING",6,4,4,2,4,4,4,4,4,,,98,3,2,1,98,2,2,2,3,3,98,4,4,4,,98,2,1,1,3,4,4,2,4,1,4,1,2,6,,1,,4,5,2,,1,0.58,0.25,0.13,0.35,1.305
10,9,8,2008,,2,2,1,1,3,1,1,"MEDIA REPORTS AND PERSONAL OBSERVATION",6,2,2,2,2,4,4,2,2,,,3,2,4,4,2,1,1,1,4,1,1,2,2,4,,2,2,2,2,4,1,4,1,3,2,4,3,4,6,1,2,,3,5,2,4,1,0.58,0.06,0.3,0.35,1.285
11,9,8,2008,,3,1,1,2,3,1,1,"THE WEATHER",3,1,2,1,1,1,1,1,1,,,3,1,4,3,3,1,1,1,4,1,1,1,4,3,,98,98,1,1,4,3,4,1,4,98,1,1,1,4,1,1,1,2,1,2,5,2,0.07,0.06,0.75,0.45,1.33
12,9,8,2008,,1,3,98,,,,,,,,,,,,,,,,,2,2,2,2,2,98,3,2,2,3,98,2,1,4,,1,2,4,1,3,4,1,1,4,4,4,4,4,1,1,2,,4,1,3,,2,0.07,0.06,0.13,0.12,0.38
13,9,8,2008,,3,3,98,,,,,,,,,,,,,,,,,3,2,2,1,1,2,2,2,2,2,98,3,2,4,,98,2,3,3,4,3,3,2,2,1,4,3,2,98,1,1,2,3,3,4,1,2,0.07,0.06,0.3,0.12,0.55
14,9,8,2008,,2,3,2,,,,,,,,,,,,,,,"TEMPERATURES",1,1,1,4,3,1,3,3,3,1,4,4,4,4,4,,1,1,4,4,4,1,4,1,4,4,4,4,4,1,1,3,,5,5,2,6,1,0.58,0.06,0.06,0.35,1.045
15,9,8,2008,,1,3,1,2,3,1,1,"AL GORE",5,2,4,3,2,1,4,4,2,,,2,4,98,98,98,98,3,2,4,2,2,98,2,4,,98,2,1,3,1,98,4,1,2,1,1,1,1,98,1,2,,2,1,4,2,2,0.07,0.06,0.75,0.35,1.23
16,9,8,2008,,2,3,1,2,2,4,2,"ARTICLES AND STUDIES DONE",4,3,4,4,2,4,4,4,4,,,2,1,2,1,1,3,3,3,98,4,4,4,4,4,,98,1,3,1,4,1,4,4,4,4,4,4,4,1,1,1,1,5,98,4,6,1,0.58,0.06,0.06,0.12,0.815
