"Survey_Iteration","Orig_ID","Month","Day","Year","demog_state","demog_state_region","demog_age_list","gw_belief","believer_confidence","believer_cause","believer_problem","gw_concern","gwimpacts_storms","gwimpacts_droughts","gwimpacts_disease","gwimpacts_species","gwimpacts_areas","gw_noevidence","gw_scioverstate","gw_nattrend","gw_mediaoverstate","gw_adapt","govt_fed","govt_state","govt_local","govt_fedvsstate","state_neighborsact","govt_nostateaction","state_rps_economy","state_impactsfelt","state_rps_neighbr","religion_govtaction","religion_govtactionexplain","state_vehicles_v1","state_fftax","state_nuclear","state_captrade","state_rps_v2","state_gastax","captrade_govt_v1","fftax_govt","nuclear_govt","gastax_govt","rps_govt","ethanol_govt","vehicle_govt","captrade_support_v1","captrade_cost15dol","captrade_cost50","carbontax_support","carbontax_cost15dol","carbontax_cost50dol","willing2pay_list","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_income","demog_gender","Weight"
"FALL 2009",1495,10,16,2009,"TX",2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,0.99
"FALL 2009",1528,10,16,2009,"GA",2,3,1,2,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,4,2,1,1,98,4,,1,98,1,1,1,1,3,3,4,98,3,3,3,,,,,,,,,,,,,,,98,0.99
"FALL 2009",1529,10,16,2009,"NY",1,2,1,1,1,1,3,2,3,3,1,1,4,4,4,4,4,1,1,1,2,4,1,3,4,98,4,,2,4,1,4,1,4,4,4,3,4,3,98,3,,,,,,,,,,,,,,,98,0.98
"FALL 2009",1531,10,16,2009,"CA",4,3,1,1,1,2,2,2,4,2,1,4,3,3,4,3,4,1,2,2,2,3,4,2,2,2,4,,3,3,2,4,2,3,1,4,3,4,3,1,3,,,,,,,,,,,,,,,98,0.99
"FALL 2009",1557,10,19,2009,"OK",2,2,1,3,2,3,3,2,2,2,2,2,1,1,2,1,2,2,2,3,4,1,4,2,4,4,4,,3,3,1,4,2,3,4,4,3,4,2,98,1,4,4,4,3,3,3,1,1,1,1,5,5,4,6,98,0.55
"FALL 2009",1558,10,19,2009,"AL",2,4,1,2,2,2,2,2,1,2,3,2,3,3,2,3,2,1,2,2,2,3,2,2,2,2,3,,2,2,2,2,2,2,3,98,3,3,4,4,3,2,3,3,2,4,4,1,1,1,,4,1,2,3,98,1.91
"FALL 2009",1559,10,19,2009,"IL",3,4,1,3,98,1,1,1,1,1,1,1,98,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,2.34
"FALL 2009",1582,10,20,2009,"MN",3,3,1,2,1,2,2,2,2,2,2,1,3,3,3,3,3,1,1,1,2,2,2,2,3,2,4,,2,4,4,3,2,4,4,3,4,4,4,3,2,2,3,4,4,2,4,2,1,7,,3,2,1,4,98,0.8
"FALL 2009",604,9,21,2009,"AZ",4,1,1,2,1,2,2,2,2,1,2,2,3,4,3,4,4,2,2,3,2,3,2,98,98,98,4,,1,2,98,98,1,98,2,98,98,98,3,3,3,2,2,2,2,2,2,3,1,2,,5,5,1,5,2,0.03
"FALL 2009",618,9,21,2009,"NY",1,1,1,2,1,1,2,2,2,1,1,2,4,4,4,4,4,1,2,2,1,4,2,98,98,98,4,,1,1,3,98,1,4,98,1,98,4,3,3,3,98,2,4,1,2,4,3,1,6,,4,1,1,4,2,0.03
"FALL 2009",626,9,22,2009,"KS",3,1,2,,,,,,,,,,98,2,3,1,4,1,1,2,2,3,2,1,98,1,4,,1,3,98,2,1,4,98,98,98,98,98,98,1,1,3,4,4,3,4,2,1,1,2,4,1,1,5,2,0.03
"FALL 2009",627,9,22,2009,"WA",4,2,1,1,3,1,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,4,2,98,2,98,4,,2,98,98,98,2,98,98,98,98,98,98,98,3,2,1,2,98,2,98,4,1,6,,4,1,1,4,2,0.03
"FALL 2009",632,9,22,2009,"OH",3,1,1,2,3,1,2,1,1,1,1,1,4,4,3,3,4,1,1,1,2,3,2,1,98,4,3,,2,98,3,3,2,98,98,2,1,98,3,3,98,3,98,3,98,2,3,2,1,2,,4,5,1,2,2,0.03
"FALL 2009",636,9,22,2009,"MI",3,1,98,,,,,,,,,,98,98,98,98,98,2,2,2,2,2,2,2,2,2,2,98,2,2,2,2,2,2,98,98,98,98,98,98,98,2,2,2,2,2,2,2,1,2,,5,1,1,3,2,0.03
"FALL 2009",638,9,22,2009,"SC",2,2,1,2,3,2,3,3,3,2,2,2,3,3,4,3,4,1,1,1,2,4,2,2,2,4,4,,1,4,3,98,1,4,98,4,1,4,3,3,1,2,4,4,4,4,4,1,1,1,2,4,5,4,3,2,0.03
"FALL 2009",643,9,22,2009,"WI",3,1,98,,,,,,,,,,2,3,3,3,4,1,1,1,1,98,1,2,3,98,3,,1,98,3,2,1,98,3,3,3,3,3,3,3,98,98,98,98,1,98,98,1,6,,5,5,4,,2,0.03
"FALL 2009",677,9,23,2009,"CT",1,1,1,2,3,2,2,2,2,1,2,2,3,3,3,3,4,1,1,2,2,98,2,2,98,3,2,1,1,2,2,98,2,3,98,4,3,1,3,3,3,1,2,98,3,3,4,2,1,2,,4,5,1,2,2,0.03
"FALL 2009",686,9,23,2009,"IA",3,1,1,1,3,2,2,2,1,1,1,2,3,3,98,98,98,1,2,2,2,3,2,2,3,98,3,,2,98,98,3,2,3,4,98,98,4,3,3,3,2,2,98,3,2,3,4,1,2,,5,5,1,5,2,0.03
"FALL 2009",690,9,23,2009,"NY",1,1,1,2,3,2,2,1,2,2,2,2,3,4,3,4,2,1,2,2,2,3,2,3,4,2,4,,2,2,2,1,2,1,1,3,2,3,2,2,2,1,2,4,2,2,4,4,1,7,,4,5,1,2,2,0.03
"FALL 2009",698,9,23,2009,"PA",1,1,1,2,1,2,2,2,2,2,1,2,4,3,4,3,4,2,2,2,98,4,2,2,1,4,2,1,98,98,1,98,2,98,98,98,98,98,98,98,98,3,3,4,98,3,4,2,1,2,,4,5,4,3,2,0.03
"FALL 2009",704,9,24,2009,"IL",3,1,1,2,3,1,1,1,1,2,3,1,4,4,3,4,4,1,2,2,1,3,2,2,2,3,4,,4,3,2,3,1,2,3,1,2,1,2,1,1,3,3,3,2,2,3,5,1,6,,4,2,1,2,2,0.03
"FALL 2009",709,9,24,2009,"AZ",4,2,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,4,1,1,1,1,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,4,1,2,,4,5,1,4,2,0.03
"FALL 2009",726,9,24,2009,"FL",2,1,1,2,3,2,2,2,2,2,2,2,3,2,98,2,3,1,2,2,3,3,3,2,3,3,4,,2,3,2,2,2,3,3,4,3,4,3,3,3,4,4,4,3,3,3,3,1,6,,4,5,2,4,2,0.03
"FALL 2009",741,9,25,2009,"ID",4,2,1,2,3,2,2,2,1,1,1,2,3,98,2,2,3,2,2,2,2,4,2,1,2,3,2,3,2,3,4,1,98,2,3,4,4,2,98,98,98,2,2,3,3,98,3,2,1,6,,5,5,2,3,2,0.03
"FALL 2009",765,9,25,2009,"AL",2,2,2,,,,,,,,,,1,1,1,1,1,3,3,3,3,2,4,98,98,98,2,2,3,4,2,4,3,3,4,4,2,2,2,2,1,4,4,4,4,4,4,1,1,1,1,4,5,2,4,2,0.03
"FALL 2009",781,9,28,2009,"TX",2,2,2,,,,,,,,,,1,1,1,1,3,3,2,2,4,4,4,4,2,1,2,3,3,4,2,2,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,2,1,6,,5,5,2,6,2,0.03
"FALL 2009",792,9,28,2009,"OH",3,2,1,2,3,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,1,4,2,1,1,1,2,98,3,2,3,3,1,3,3,3,3,3,3,3,3,2,2,1,2,2,1,2,1,6,,4,5,2,3,2,0.03
