Survey_Iteration,Orig_ID,Month,Day,Year,demog_age_list,demog_state,demog_state_region,gw_belief,believer_confidence,believer_cause,believer_problem,gw_concern,believer_factor_open,believer_factor_open_coded,believer_factor_glaciers,believer_factor_warmer,believer_factor_models,believer_factor_hurricane,believer_factor_ipcc,believer_factor_mildwint,believer_factor_polarbrs,believer_factor_droughts,nonbeliever_confidence,nonbeliever_factor_open,nonbeliever_factor_open_coded,nonbeliever_factor_weath,nonbeliever_factor_scievid,nonbeliever_factor_distort,gw_noevidence,gw_scioverstate,gw_nattrend,gw_mediaoverstate,gw_adapt,govt_fed,govt_state,govt_local,govt_fedvsstate,state_neighborsact,govt_nostateaction,state_rps_economy,state_impactsfelt,state_rps_neighbr,state_rps_mystate_v1,captrade_govt_v1,fftax_govt,nuclear_govt,gastax_govt,rps_govt,ethanol_govt,vehicle_govt,captrade_support_v1,captrade_govt_v2,captrade_cost15dol,captrade_cost50,carbontax_support,carbontax_cost15dol,carbontax_cost50dol,busnesspay_revuse,busnesspay_govtlevel,willing2pay_list,demog_race,demog_relig,demog_relig_evang,demog_edu,demog_news,demog_polparty,demog_teaparty,demog_polviews,demog_income,demog_gender,TOTWEIGHT
FALL 2010,2609,11,30,2010,4,NEW YORK,1,1,1,3,1,1,MELTING ICE,1,1,1,1,3,3,1,1,1,,,,,,,4,4,4,4,4,1,2,2,3,4,1,1,2,2,1,3,3,3,1,3,3,3,98,,98,98,98,98,98,98,98,,1,98,,98,98,98,98,98,98,1,1.04
FALL 2010,2835,12,3,2010,3,MICHIGAN,3,1,1,3,2,1,PERSONAL EXPERIENCE,2,1,1,98,1,98,1,98,1,,,,,,,4,4,2,4,2,1,2,2,1,4,1,1,1,1,1,1,3,3,4,3,3,3,1,1,1,2,4,2,4,5,98,98,1,98,,,,,,,,1,1.04
FALL 2010,3044,12,7,2010,4,MICHIGAN,3,2,,,,,,,,,,,,,,,2,IT IS GETTING COOL,1,1,3,3,2,2,2,1,4,3,3,3,2,2,3,2,4,2,2,1,3,3,3,3,3,3,2,2,3,4,98,3,4,98,1,1,1,98,,98,1,98,98,98,98,1,1.04
FALL 2010,2754,12,2,2010,2,VIRGINIA,2,98,,,,,,,,,,,,,,,,,,,,,2,4,2,3,4,1,1,2,1,2,2,2,98,4,2,3,3,3,3,3,3,3,2,2,2,98,2,3,2,3,2,98,,,,,5,,2,,,2,1.16
FALL 2010,3142,12,8,2010,3,CALIFORNIA,4,2,,,,,,,,,,,,,,,1,POLITICAL,7,1,1,1,1,1,1,1,1,3,3,3,4,98,2,4,4,1,4,4,4,3,4,4,4,4,4,,4,4,3,4,4,6,,1,,,,,5,4,2,2,,2,1.16
FALL 2010,2854,12,3,2010,3,MINNESOTA,3,2,,,,,,,,,,,,,,,2,NO CONVINCING EVIDENCE,3,1,1,1,1,2,1,1,98,3,3,2,1,4,2,98,3,2,98,4,4,3,4,4,4,2,4,,4,4,4,4,4,6,2,1,,,,,,4,2,,,1,1.28
FALL 2010,2305,11,15,2010,4,MASSACHUSETTS,1,1,1,3,1,1,SAW EVIDENCE,4,1,3,1,1,3,2,1,1,,,,,,,4,4,4,4,4,1,1,1,4,4,1,1,2,4,1,3,3,3,3,3,3,3,1,1,2,2,2,2,2,1,1,6,1,6,,5,2,1,2,5,4,2,0.92
FALL 2010,2333,11,15,2010,4,WASHINGTON,4,1,1,1,1,1,READING ABOUT IT,6,1,2,1,2,1,2,1,1,,,,,,,4,4,4,4,4,1,2,2,1,4,1,2,2,3,2,3,3,98,3,2,3,3,2,1,1,3,2,2,98,1,1,3,1,7,,5,2,1,2,5,5,2,0.46
FALL 2010,2344,11,16,2010,3,CONNECTICUT,1,2,,,,,,,,,,,,,,,1,NORMAL TEMPERATURES,1,4,4,4,1,1,1,1,1,3,3,3,1,1,1,1,4,4,1,3,3,3,3,3,3,3,4,,4,4,4,4,4,1,98,1,1,6,,5,1,4,98,2,,2,0.46
FALL 2010,2387,11,17,2010,3,FLORIDA,2,1,1,1,1,1,HURRICANES GETTING WORSE,3,1,1,1,1,2,3,1,1,,,,,,,4,4,4,4,4,1,1,1,2,3,1,2,1,4,2,3,3,4,3,3,3,3,98,,2,2,2,2,2,1,2,3,1,3,,5,2,1,2,3,6,2,0.46
