"Respnum","sample","Month","Date","demog_age_list","demog_state","demog_state_region","gw_belief","believer_confidence","believer_cause","believer_problem","gw_concern","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_ipcc","believer_factor_unipcc","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","believer_factor_extremes","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","nonbeliever_factor_weath","nonbeliever_factor_scievid","nonbeliever_factor_distort","gw_noevidence","gw_scioverstate","gw_nattrend","gw_mediaoverstate","fed_industrial","gw_sciencelimitimpact","gw_geoengrharm","gw_geoengr","gw_adapt","gw_adapteasy","govt_fed","govt_state","govt_local","gastax_support_v2","gastax_support_fee","captrade_support_limit","captrade_support_cap","electrictax_support_v2","electrictax_support_v3","captrade_support_v1","captrade_rev4renewbls","captrade_rev4debt","carbontax_support","carbontax_rev4renewbls","carbontax_rev4debt_v1","carbontax_rev4inctax","carbontax_revfed_v1","carbontax_revstate","willing2pay_list","intl_support_v1","intl_support_cost","intl_support_china_v1","demog_persfinance","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_income","demog_gender","Weight"
1,"B",12,4,4,"AL",2,98,,,,,,,,,,,,,,,,,,,,,,,3,3,98,2,98,98,98,98,3,3,2,2,2,,2,,98,,2,98,98,2,4,4,,2,,4,1,2,3,98,2,2,4,,2,1,,,,2,1.29
2,"A",12,4,2,"TX",2,1,2,3,2,2,"CLIMATE CHANGES",2,2,1,2,2,3,,3,1,2,2,,,,,,,3,3,3,3,3,3,3,98,2,2,1,1,1,2,,1,,2,,1,1,98,4,3,98,,1,,2,1,1,3,2,5,2,,4,1,1,,,1,1.64
3,"A",12,4,3,"AL",2,1,1,2,3,3,"NEWS OF WEATHER CHANGES",6,1,4,1,2,1,,4,3,4,4,,,,,,,4,4,2,2,4,3,2,2,3,3,2,2,2,2,,1,,2,,4,4,4,4,4,4,,6,,98,4,4,4,3,1,1,1,3,1,4,2,4,1,0.63
4,"B",12,4,4,"UT",4,1,1,2,3,3,"READ SCIENTIFIC EVIDENCE",4,2,4,2,3,,4,4,3,4,4,,,,,,,3,1,1,1,3,4,2,4,1,1,2,2,1,,2,,2,,2,4,4,4,4,4,,4,,2,1,2,4,4,3,1,6,,5,2,2,3,6,1,0.26
5,"A",12,4,2,"FL",2,1,1,3,2,3,"TEMPERATURE",2,3,3,2,2,3,,3,1,3,1,,,,,,,1,2,2,98,3,2,2,98,2,3,98,98,98,2,,2,,2,,3,3,98,2,98,2,,4,,98,2,98,98,2,5,1,2,1,6,2,2,98,2,2.86
7,"A",12,4,2,"OK",2,2,,,,,,,,,,,,,,,,,1,"NATURE",2,4,2,2,1,2,2,2,3,3,3,3,3,98,3,3,3,2,,98,,98,,98,98,2,3,3,3,,98,,6,3,4,3,3,1,1,98,3,1,4,2,6,1,1.21
8,"B",12,4,3,"AZ",4,2,,,,,,,,,,,,,,,,,2,"SEEN NO CHANGE",1,1,3,4,2,2,98,1,3,4,2,4,2,2,3,3,3,,2,,2,,2,3,3,3,3,3,,3,,6,1,3,3,3,3,2,,,2,1,3,1,2,2,1.24
9,"B",12,4,2,"PA",1,98,,,,,,,,,,,,,,,,,,,,,,,2,2,98,2,98,3,98,98,98,98,2,2,2,,2,,2,,2,98,98,3,3,3,,3,,4,1,98,98,98,2,1,1,2,2,1,4,3,,1,1.33
10,"A",12,4,3,"IN",3,2,,,,,,,,,,,,,,,,,1,"WEATHER CYCLES OVER TIME",2,1,4,4,1,1,1,2,2,4,1,4,2,2,3,3,2,2,,2,,2,,4,4,4,4,4,4,,1,,1,1,4,4,2,1,1,2,5,1,,2,6,1,0.21
11,"B",12,4,2,"FL",2,1,3,2,1,1,"LESS TREES",8,2,2,3,2,,2,2,2,2,2,,,,,,,2,3,3,2,2,3,2,2,3,3,1,1,2,,2,,1,,2,3,2,3,3,2,,2,,1,2,2,3,2,2,5,2,,4,1,4,2,5,2,1.74
12,"A",12,4,2,"ND",3,1,3,2,4,4,"WEATHER",3,3,3,3,2,98,,4,3,3,3,,,,,,,1,1,1,1,1,4,1,98,1,2,3,3,3,2,,2,,2,,4,4,4,4,4,4,,6,,1,4,4,4,1,1,1,1,3,3,2,1,5,1,1.21
13,"A",12,4,3,"CT",1,98,,,,,,,,,,,,,,,,,,,,,,,4,2,2,3,2,4,4,4,1,1,2,2,2,2,,1,,2,,1,1,1,3,3,3,,2,,2,1,1,1,3,1,2,,4,6,4,2,4,2,0.36
14,"B",12,4,3,"CA",4,1,1,3,1,1,"DATA",4,2,3,1,3,,1,3,4,2,4,,,,,,,4,4,3,3,4,3,1,3,3,4,1,1,1,,1,,1,,1,2,1,3,1,1,,3,,5,6,1,1,1,3,1,2,,5,2,1,5,6,2,0.31
