"RespNum","Sample","Date","demog_age_list","demog_state","demog_state_region","gw_belief","believer_confidence","believer_cause","believer_problem","gw_concern","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_ipcc","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","believer_factor_extremes","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","nonbeliever_factor_weath","nonbeliever_factor_scievid","nonbeliever_factor_distort","gw_noevidence","gw_scioverstate","gw_nattrend","gw_mediaoverstate","fed_industrial","govt_fed","govt_state","govt_local","rps_25x25_nocost","rps_25x25_cost10pct","vehicle_54mpg_nocost","vehicle_54mpg_cost10pct","fftax_support_v2","fftax_support_v2_cost10pct","carbontax_revuse_v2","gastax_knowldg_cost","gastax_knowldg_chng","gastax_knowldg_chnghow","excisetax_revuse","willing2pay_list","demog_persfinance","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_income","demog_gender","weight"
10,"L","9/26/2012 8:54:17",4,"GEORGIA",2,1,1,1,1,1,"DATA",4,1,2,1,2,1,2,1,1,2,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,2,,1,6,1,1,1,2,5,5,1,5,6,1,0.26
11,"L","9/26/2012 8:54:45",4,"VIRGINA",2,1,2,2,1,2,"MEDIA",6,1,2,2,2,1,3,3,2,2,,,,,,,2,1,3,2,4,1,1,2,3,1,1,1,2,3,2,98,98,,98,2,2,1,6,,5,5,4,2,4,1,0.26
41,"C","9/27/2012 5:15:29",4,"MAINE",1,1,1,3,2,2,"EVIDENCE",4,1,2,2,4,4,2,2,2,3,,,,,,,4,4,4,4,4,1,2,2,1,1,1,1,2,2,5,3,2,,5,4,1,1,1,2,5,1,4,3,6,1,0.26
61,"C","9/27/2012 5:58:51",4,"NORTH CAROLINA",2,1,1,2,1,3,"ORBIT OF EARTH AROUND SUN HAS CHANGED AND SUN SPOTS HAVE HAD AN EFFECT ON T",10,3,3,2,3,3,3,3,3,3,,,,,,,4,4,1,1,3,3,3,3,1,1,1,1,3,1,1,1,2,,1,6,1,1,6,,5,2,4,1,6,1,0.26
62,"C","9/27/2012 6:00:37",4,"HAWAII",4,1,1,1,1,2,"LITERATURE",6,1,1,1,2,1,2,1,2,2,,,,,,,4,4,3,4,4,1,1,1,2,2,1,1,2,2,3,2,98,,3,5,1,1,6,,5,2,1,4,6,1,0.26
92,"L","9/27/2012 7:24:23",4,"FLORIDA",2,2,,,,,,,,,,,,,,,,2,"GLOBAL WARMING WAS INVENTED BY LEFT-WING WACKOS",7,1,4,1,2,1,98,1,1,2,2,2,1,4,2,3,4,4,2,5,2,,3,1,2,1,6,,5,2,4,3,6,1,0.26
139,"L","9/27/2012 8:20:32",4,"OREGON",4,1,1,2,4,4,"NORMAL CYCLE",9,2,4,4,4,4,4,4,4,4,,,,,,,1,1,1,1,1,3,3,3,4,4,4,4,4,4,2,1,1,2,2,1,3,1,1,1,5,6,2,1,4,1,0.26
147,"L","9/27/2012 8:33:56",4,"CALIFORNIA",4,1,1,3,1,1,"CARBON EMISSIONS ARE CAUSING HOT HOUSE",8,1,2,3,2,2,4,2,1,1,,,,,,,3,3,4,2,1,1,1,1,1,2,1,1,2,2,1,98,2,,1,98,3,1,6,,5,6,1,4,,1,0.26
258,"L","10/1/2012 9:29:34",4,"CALIFORNIA",4,2,,,,,,,,,,,,,,,,3,"IN THE '70S IT WAS PREDICTED THAT THERE WOULD BE GLOBAL COOLING, BUT THERE",3,4,4,1,1,1,1,1,1,2,3,3,4,4,4,4,4,4,2,5,1,1,2,1,2,1,2,,5,5,4,1,98,1,0.26
307,"L","10/2/2012 8:59:39",4,"NEW YORK",1,1,4,2,3,3,"NOT TOO MUCH",10,4,3,4,4,4,4,4,4,4,,,,,,,1,2,1,1,3,3,2,2,2,2,2,2,3,3,2,1,2,,5,2,2,1,2,,5,1,4,2,5,1,0.26
317,"L","10/2/2012 9:17:39",4,"MARYLAND",2,1,1,3,1,2,"HUMAN ACTIVITY AND CARBON USE",8,2,2,98,2,4,1,2,98,98,,,,,,,4,3,4,2,3,1,3,3,4,4,2,1,2,98,1,1,2,,3,98,3,1,1,2,5,1,2,3,,1,0.26
334,"L","10/3/2012 8:06:33",4,"MICHIGAN",3,2,,,,,,,,,,,,,,,,3,"BIBLE",6,3,3,3,2,2,3,2,4,1,1,1,1,2,1,1,1,1,1,98,2,,5,98,1,1,7,,5,6,1,5,6,1,0.26
365,"L","10/3/2012 8:49:41",4,"TEXAS",2,1,1,1,2,1,"HOTTER WETTER",2,2,1,4,1,4,2,2,1,1,,,,,,,3,2,4,4,4,1,1,1,98,2,1,1,2,2,5,98,98,,5,3,3,1,1,2,5,3,4,2,98,1,0.26
