"RespNum","Sample","Date","demog_age_list","demog_state","demog_state_region","gw_belief","believer_confidence","believer_cause","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","believer_factor_extremes","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","nonbeliever_factor_weath","nonbeliever_factor_scievid","nonbeliever_factor_distort","gw_concern","ccvsgw_concern","intl_support_v2","intl_support_china_v2","intl_kyotoknowldg","state_fftax_nocost","state_fftax_cost10pct","state_captrade","state_captrade_cost10pct","state_rps_v2","state_rps_v2_cost100","state_gastax_nocost","state_gastax_cost25cpg","captrade_knowldg","captrade_support_v1","captrade_cost15dol","carbontax_support","carbontax_cost15dol","carbontax_rev4research_v2","carbontax_revneutral_v2","coalfpp_support","coalfpp_support_Obama","carbontax_partisan1","carbontax_partisan2","carbontax_partisan3","carbontax_partisan4","carbontax_partisan5","carbontax_partisan_support","carbontax_partisan_oppose","willing2pay_list","willing2pay_open","willing2pay_open_coded","govt_nostateaction","state_rps_economy","state_neighborsact","state_impactsfelt","fed_moralobligation","pipelines_support","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_persfinance","demog_income","demog_gender","weight"
339,"l","10/10/2013 5:10:26",2,"MA",1,1,1,2,"SEVERE WEATHER CAUSING HIGHER TIDES",3,3,3,3,2,2,3,2,1,,,,,,,,2,,2,98,4,,4,,,3,,4,2,2,2,3,3,2,,2,,,,98,,,,,,"$50",2,3,3,2,2,2,1,1,1,2,4,2,4,5,2,3,2,1.197
340,"l","10/10/2013 5:14:57",3,"NJ",1,98,,,,,,,,,,,,,,,,,,,,1,,4,2,3,,1,,,1,,4,1,1,1,3,1,1,,4,,,,1,,,3,,,"25",2,1,1,1,1,4,1,1,2,,4,2,2,1,3,5,2,0.817
341,"l","10/10/2013 5:17:11",3,"FL",2,1,1,3,"WORKS IN GEOPHYSICS",4,1,4,1,3,4,1,2,3,,,,,,,,4,,1,1,4,,1,,,3,,4,1,1,4,4,2,3,,1,,,,1,,,1,,,"0",1,4,1,2,1,1,1,1,6,,5,2,1,5,3,,1,0.51
342,"l","10/10/2013 5:22:59",3,"NM",4,2,,,,,,,,,,,,,2,"WEATHER PATTERNS STAYING THE SAME",2,1,2,4,,3,,3,98,4,,4,,,2,,4,1,4,4,4,2,2,,4,,,,3,,,,,,"REFUSED",,3,4,2,4,3,1,1,,,3,5,3,2,2,,2,0.967
343,"l","10/10/2013 5:30:16",4,"NY",1,1,1,3,"POLAR BEARS",7,1,2,98,1,2,1,1,1,,,,,,,,1,,98,98,1,,98,,,1,,3,3,98,2,2,2,1,,4,,,,2,,,,1,,"$25",2,1,2,2,98,2,2,1,1,1,4,1,1,4,3,2,2,0.597
344,"l","10/10/2013 5:31:40",3,"SC",2,98,,,,,,,,,,,,,,,,,,,,4,,3,98,4,,98,,,4,,4,3,3,4,4,4,4,,4,,,,2,,,,2,,"0",1,4,98,2,4,3,2,1,1,2,2,1,1,3,2,2,2,0.997
345,"l","10/10/2013 5:32:19",3,"PA",1,1,1,2,"MOTHER NATURE",9,2,4,4,4,4,3,4,4,,,,,,,,4,,4,98,4,,4,,,4,,4,1,4,4,4,4,4,,4,,,,,,,,,,"0",1,4,4,4,4,4,1,1,98,,5,1,4,2,3,,1,0.51
346,"l","10/10/2013 5:33:36",3,"MI",3,2,,,,,,,,,,,,,4,"BIBLE",6,2,2,2,,4,,4,98,4,,4,,,4,,4,3,4,4,4,4,2,,2,,,,2,,,,1,,"0",1,2,2,2,2,2,4,1,6,,2,1,4,3,2,1,1,0.64
347,"l","10/10/2013 5:34:27",4,"NY",1,1,1,1,"SEASONS ARE NOT THE SAME AND THE WINTERS ARE WARMER",3,1,1,1,1,1,1,1,1,,,,,,,,1,,1,1,4,,3,,,1,,1,1,4,1,1,1,1,,1,,,,1,,,1,,,"$50",2,1,1,1,1,1,4,1,6,,5,5,4,5,2,3,1,0.29
348,"l","10/10/2013 5:36:27",2,"NM",4,2,,,,,,,,,,,,,2,"HOT AS EVER",1,1,4,4,,3,,2,2,4,,4,,,2,,4,2,4,4,4,4,2,,3,,,,2,,,,1,,"$100",3,4,2,4,4,3,1,10,2,,3,1,1,4,2,,1,1.22
349,"l","10/10/2013 5:45:31",4,"MD",2,2,,,,,,,,,,,,,2,"TOO MANY OTHER THINGS TO WORRY ABOUT",9,2,4,4,,4,,3,2,4,,98,,,4,,4,3,3,4,4,4,4,,4,,,,2,,,,2,,"0",1,4,98,1,4,4,1,2,1,1,2,1,1,2,2,2,2,1.247
350,"l","10/10/2013 5:45:42",4,"PA",1,1,2,3,"MANS USE OF FOSSIL FUELS AND WARMER WINTERS",8,3,1,3,2,1,3,1,1,,,,,,,,2,,3,98,4,,4,,,3,,4,3,98,4,4,4,4,,4,,,,1,,,1,,,"0",1,4,3,2,4,4,1,2,1,2,2,1,1,5,2,1,1,0.89
