"Respnum","Sample","VersionQ3_4","VersionQ33","demog_age_list","demog_state","demog_state_region","weather_pastsummer_v3","weather_pastwinter","gw_belief","believer_confidence","believer_cause","believer_factor_open","believer_factor_open_coded","gw_concern","gw_prevent","govt_fed_v2","govt_effectiveness_v2","believer_factor_glaciers","believer_factor_warmer","believer_factor_hurricane","believer_factor_mildwint","believer_factor_droughts","believer_factor_extremes","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","nonbeliever_factor_weath","nonbeliever_factor_scievid","nonbeliever_factor_distort","carbontax_support","carbontax_cost10pct","carbontax_revneutral_v1","carbontax_rev4research_v1","carbontax_rev4debt_v2","willing2pay_temprise_open","willing2pay_temprise_coded","gw_techsolveprob","gw_adapt","state_rps_neighbr","carbontax_price_nocost","carbontax_price_8cpg","carbontax_price_42cpg","rps_support_v2","vehicle_evrebate","coalfpp_support_phaseout","wind_noise","wind_climate","wind_visual","wind_jobs","wind_propvalue","wind_mycommunity","coal_leavinground_v2","willing2pay_list","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_income","demog_gender","Date_Time","Weight"
1,"C","A","A",1,"WI",3,3,3,1,2,3,"GLOBAL CYCLE",9,3,1,1,1,2,4,2,2,2,3,,,,,,,2,2,2,2,3,"NOT SURE",98,2,3,2,2,-9,-9,2,3,3,98,98,98,2,2,1,2,3,1,7,,3,5,,,98,2,"10/13/2016 7:41:52",1.04
2,"C","B","A",2,"OH",3,5,2,1,1,1,"AUTOMOBILES AND POLLUTION",8,3,1,1,1,1,2,2,3,2,1,,,,,,,98,2,2,98,98,"NOT SURE",98,2,3,2,2,-9,-9,2,2,1,98,2,98,2,3,1,2,98,1,1,1,2,1,2,1,2,1,"10/13/2016 7:54:51",0.97
3,"C","A","C",4,"GA",2,2,2,2,,,,,,,-9,,,,,,,,1,"GOD IS IN CONTROL NOT MAN",6,2,4,3,4,4,4,2,4,"ZERO",1,4,98,2,-9,-9,4,4,4,4,4,4,4,4,4,2,1,1,1,1,1,2,1,2,1,4,1,"10/16/2016 6:12:11",0.57
4,"C","B","A",3,"MD",2,2,2,1,3,3,"TOO MUCH POLLUTION AND GASES",8,2,1,1,1,2,3,2,2,2,2,,,,,,,4,4,1,2,1,"$5.00",2,2,4,2,4,-9,-9,3,3,4,3,3,3,2,98,2,3,2,1,1,2,2,1,1,3,3,1,"10/16/2016 6:18:05",0.68
5,"C","B","C",2,"NH",1,5,2,1,1,1,"DATA",4,1,2,-9,98,2,4,2,1,3,2,,,,,,,1,1,1,1,1,"INDEFINITE AMOUNT",7,3,4,4,-9,-9,2,1,1,3,2,1,4,2,4,1,3,4,1,1,2,5,5,1,4,5,2,"10/16/2016 6:21:22",1.14
6,"C","A","A",2,"NJ",1,2,2,2,,,,,,,-9,,,,,,,,2,"WHAT I HAVE SEEN",1,1,1,1,2,2,1,3,3,"$10.00",2,2,4,2,4,-9,-9,3,2,2,2,98,3,2,2,3,3,2,1,1,2,3,1,4,4,4,2,"10/16/2016 6:18:38",1.44
7,"C","A","C",1,"VT",1,2,5,1,1,1,"WEATHER",3,1,1,2,1,1,2,98,1,2,1,,,,,,,4,3,2,1,4,"$10.00",2,2,4,2,-9,-9,3,1,1,2,4,2,4,1,3,1,2,3,1,7,,4,5,3,5,1,1,"10/16/2016 6:33:04",0.65
8,"C","B","A",4,"FL",2,1,1,1,1,1,"AMOUNT OF STORMS AND THEIR SIZES",3,1,1,1,2,1,1,2,1,1,1,,,,,,,2,1,2,1,2,"NOT SURE",98,4,4,2,1,-9,-9,1,2,1,98,1,2,1,2,1,2,5,1,6,,2,1,1,3,4,1,"10/16/2016 6:40:52",0.57
9,"C","A","A",1,"MD",2,3,5,1,2,3,"OZONE LAYER",10,1,1,2,1,1,3,3,2,2,2,,,,,,,4,2,1,1,4,"20 PERCENT",7,2,2,3,4,-9,-9,1,1,3,4,1,3,2,2,1,2,3,1,,,3,5,,,4,1,"10/16/2016 6:44:06",0.73
10,"C","B","A",3,"TX",2,5,5,2,,,,,,,-9,,,,,,,,1,"THE WORLD CHANGES BUT ALWAYS REVERTS TO PREVIOUS CYCLES",2,2,3,4,4,4,4,4,4,"ZERO",1,4,4,2,4,-9,-9,4,4,4,4,4,4,4,4,4,3,1,1,1,2,2,1,2,1,2,2,"10/16/2016 6:44:40",1.08
11,"C","A","C",3,"PA",1,1,2,1,1,1,"WARMER WINTERS AND WARMER SUMMERS",2,2,1,1,1,1,1,2,3,1,1,,,,,,,2,2,1,2,2,"10 PERCENT",7,2,4,4,-9,-9,2,2,2,2,98,98,2,98,2,1,98,3,1,1,1,3,1,4,98,3,2,"10/16/2016 6:45:52",1.06
12,"C","B","B",2,"MO",3,1,1,1,1,1,"FOSSIL FUEL",8,1,1,1,1,1,2,2,1,2,1,,,,,,,2,2,1,1,2,"$250.00",4,2,3,4,-9,2,-9,1,1,3,3,1,3,1,3,1,2,3,1,,,3,5,4,2,3,1,"10/16/2016 6:49:45",0.95
13,"C","A","A",2,"KY",2,5,3,2,,,,,,,-9,,,,,,,,4,"CYCLES OF HEATING PERIODS",2,3,4,4,4,4,4,1,4,"ZERO",1,1,4,1,4,-9,-9,4,1,4,98,98,4,2,98,2,3,1,1,1,2,4,5,4,3,4,1,"10/16/2016 6:58:07",0.98
14,"C","B","A",4,"OH",3,1,4,2,,,,,,,-9,,,,,,,,1,"NOTHING HAS CHANGED IN CLIMATE SAME WEATHER",1,4,4,3,4,4,4,4,4,"ZERO",1,4,2,4,4,-9,-9,3,4,4,4,4,4,4,1,3,2,1,1,,,2,2,,,4,1,"10/16/2016 7:01:57",0.57
15,"C","B","C",4,"SC",2,1,2,1,1,2,"WEATHER",3,4,2,-9,2,98,1,2,2,2,2,,,,,,,2,2,2,2,4,"ZERO",1,98,1,2,-9,-9,4,98,2,98,98,98,98,98,98,98,98,1,1,1,2,2,1,,,,2,"10/16/2016 7:03:46",0.88
16,"C","A","A",2,"SC",2,1,1,1,2,2,"THE PATTERNS",9,2,2,-9,2,4,3,3,2,2,3,,,,,,,4,4,1,4,4,"ZERO",1,2,4,3,3,-9,-9,1,1,4,4,1,4,1,4,1,3,1,1,6,,4,4,4,3,2,1,"10/16/2016 7:06:41",0.89
17,"C","A","C",3,"MD",2,1,3,1,1,1,"SCIENCE",4,1,1,1,1,1,1,1,1,1,1,,,,,,,2,1,1,1,1,"10 PERCENT",7,2,4,1,-9,-9,1,1,1,2,3,1,1,2,2,1,2,4,1,1,2,2,1,1,3,6,1,"10/16/2016 7:13:03",0.61
18,"C","A","C",2,"WV",2,5,5,1,1,3,"WEATHER  TV",3,4,2,-9,2,2,1,4,3,1,1,,,,,,,4,4,4,4,4,"ZERO",1,4,1,98,-9,-9,4,3,2,4,98,4,1,2,2,3,3,1,1,1,2,3,,4,4,,1,"10/16/2016 7:23:57",0.93
19,"C","B","A",1,"AZ",4,98,5,2,,,,,,,-9,,,,,,,,1,"NATURAL EARTHS CYCLE",2,1,4,4,4,4,4,4,4,"ZERO",1,4,4,1,2,-9,-9,1,1,1,3,2,3,2,2,1,3,2,1,6,,3,5,2,2,2,1,"10/16/2016 7:20:11",0.64
20,"C","B","B",2,"OH",3,1,4,2,,,,,,,-9,,,,,,,,4,"NOT SURE",9,3,2,1,1,4,1,1,4,"$10.00",2,1,4,1,-9,4,-9,1,1,3,3,3,4,1,1,1,2,3,10,6,,5,5,4,3,,1,"10/16/2016 7:26:06",1
21,"C","A","A",3,"OH",3,5,5,2,,,,,,,-9,,,,,,,,2,"WHEN REVIEWING THE PREVIOUS SEASONS, DON'T NOTICE MUCH DIFFERENCES BETWEEN",1,2,3,3,1,3,1,1,2,"$10.00",2,2,3,2,2,-9,-9,2,2,1,4,2,2,2,1,1,2,3,1,1,2,3,1,1,5,2,2,"10/16/2016 7:27:40",1.05
22,"C","B","C",3,"UT",4,3,3,98,,,,,,,-9,,,,,,,,,,,,,,4,4,4,4,3,"$2.00",2,98,3,98,-9,-9,4,4,3,4,4,3,2,3,2,4,3,1,1,6,,3,5,2,1,2,1,"10/16/2016 7:31:34",0.64
23,"C","A","A",3,"OK",2,2,2,2,,,,,,,-9,,,,,,,,2,"SOME SEASONS ARE COLDER THAN OTHERS",2,1,1,3,1,1,1,1,2,"$50.00",2,1,2,4,1,-9,-9,1,2,1,1,4,2,3,3,4,2,6,5,5,,5,5,2,3,6,1,"10/16/2016 7:39:15",1.21
