"Respnum","Month","Date","demog_age_list","demog_state","demog_state_region","gw_belief","believer_confidence","believer_cause","believer_problem","believer_immediacy","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_algore","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","nonbeliever_factor_open","nonbeliever_factor_open_coded","gw_noevidence","gw_scioverstate","gw_earthtoobig","gw_nattrend","gw_mediaoverstate","fftax_support_v1","gastax_support_v1","electrictax_support_v1","carbontax_revuse_v1","carbontax_revuseimpact","nuclear_support","worldviews_useconomy","worldviews_econimprove","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_income","demog_gender","Weight"
1,3,23,4,"CALIFORNIA",4,2,,,,,,,,,,,,,,,"""MY LIFE""",1,3,4,4,1,1,3,2,4,1,1,2,4,1,1,2,,4,1,1,2,5,2,0.06
2,3,24,3,"NEW JERSEY",1,1,1,1,1,1,"THE WEATHER CHANGES AND WEATHER DISASTERS",3,1,1,1,1,4,1,2,1,,,4,4,4,4,4,1,2,3,3,1,4,3,1,2,4,,4,1,3,2,2,1,1.375
3,4,3,4,"NEW JERSEY",1,2,,,,,,,,,,,,,,,"CAN NOT SAY",9,2,4,3,2,98,2,2,98,1,1,2,3,1,1,2,,4,2,1,3,4,1,0.365
4,3,18,2,"NEW JERSEY",1,2,,,,,,,,,,,,,,,"THE NEWS",4,2,98,3,3,3,98,3,3,6,,3,4,2,2,7,,3,1,1,3,,2,1.41
5,4,1,3,"CONNECTICUT",1,1,1,1,2,1,"WARS",8,2,1,2,2,1,3,2,1,,,2,2,3,3,1,3,3,3,98,,1,3,3,1,2,,2,1,4,3,2,1,1.395
6,3,31,4,"COLORADO",4,1,2,98,3,2,"PERSONAL EXPERIENCE",2,1,3,3,3,4,3,4,2,,,1,2,3,2,2,4,4,4,1,3,2,4,3,1,2,,3,1,4,3,,1,0.695
7,3,28,3,"CONNECTICUT",1,2,,,,,,,,,,,,,,,"WEATHER CHANGES HAPPEN NATURALLY",2,2,2,2,1,1,4,4,3,3,1,4,4,3,1,6,,3,1,2,2,4,2,0.8
8,4,4,4,"CONNETICUT",1,2,,,,,,,,,,,,,,,"SEEMS TO BALANCE OUT",2,4,4,4,4,1,4,4,4,4,3,4,4,2,1,1,1,4,1,2,2,,2,0.07
9,3,29,5,"CONNECTICUT",1,1,1,1,1,1,"RESEARCH",4,1,4,1,2,4,4,1,2,,,4,4,4,4,4,1,1,1,1,1,98,4,3,1,1,2,4,1,2,3,,1,0.695
10,3,21,3,"CONNECTICUT",1,2,,,,,,,,,,,,,,,"THE WEATHER IS THE SAME",1,2,2,2,2,1,3,3,3,2,3,1,4,3,1,2,,3,1,2,3,,1,1.045
11,3,23,4,"CONNECTICUT",1,2,,,,,,,,,,,,,,,"NATURAL CYCLES",2,1,3,98,1,2,4,4,4,2,3,4,3,3,1,98,,4,1,4,3,4,2,0.09
12,3,24,4,"ALABAMA",2,1,2,3,1,1,"MELTING ICE CAPS AND HOTTER SUMMERS",1,1,1,2,1,3,2,1,2,,,4,3,3,3,3,4,4,4,3,3,2,4,2,2,1,2,1,2,1,1,1,1,1.905
13,3,28,3,"ALABAMA",2,98,,,,,,,,,,,,,,,,,1,1,3,1,1,4,4,4,2,1,1,4,2,1,4,,4,3,2,1,4,2,0.44
14,4,3,3,"ALABAMA",2,1,1,1,1,1,"SCIENCE",4,1,2,1,1,2,1,1,1,,,4,4,4,4,4,1,1,1,1,1,3,1,1,1,1,2,5,2,1,5,6,1,0.645
15,3,30,2,"WASHINGTON",4,1,1,1,1,1,"DATA",4,1,1,4,4,2,1,3,2,,,4,4,4,4,4,1,1,1,1,1,4,4,3,1,2,,5,5,1,5,6,2,0.38
16,3,25,3,"WASHINGTON",4,1,1,1,1,1,"WEATHER PATTERNS",3,1,2,1,1,4,2,1,3,,,4,4,4,4,4,1,1,1,1,3,4,3,1,1,6,,5,2,1,5,6,1,0.645
17,3,22,3,"WASHINGTON",4,1,2,98,2,2,"MY OWN EXPERIENCES",2,2,2,4,4,4,2,4,2,,,3,3,3,4,3,3,4,4,1,3,3,2,3,1,2,,4,5,4,4,6,2,0.44
18,3,22,4,"MAINE",1,1,3,2,98,98,"ICEBERGS MELTING",1,1,1,3,98,4,2,4,3,,,4,4,2,98,98,1,3,3,1,98,2,2,98,1,1,1,2,2,4,3,2,2,0.76
19,4,1,4,"MAINE",1,1,1,2,2,2,"WHAT I HEARD",6,2,2,4,4,4,4,3,2,,,3,3,2,3,2,3,3,3,6,,3,4,1,1,1,2,3,1,2,2,,2,0.42
20,4,5,2,"MAINE",1,1,2,3,2,2,"POLAR ICE CAPS AND STORMS",1,1,4,3,1,4,4,1,3,,,4,4,4,3,4,2,4,4,4,1,4,3,3,1,1,2,4,5,1,4,4,1,1.525
21,3,23,4,"MAINE",1,2,,,,,,,,,,,,,,,"NO CHANGE AT ALL",1,2,2,2,2,2,3,3,3,6,,2,4,2,1,1,1,4,1,2,2,,1,0.345
22,3,21,2,"MAINE",1,1,1,1,1,1,"SCIENTIFIC DATA",4,1,3,1,2,1,4,4,2,,,4,4,4,4,4,2,2,2,1,1,1,3,1,1,7,,5,5,1,5,4,1,0.665
23,3,21,4,"IDAHO",4,1,2,3,2,98,"SEVERE WEATHER PATTERNS",3,2,2,2,2,4,3,2,2,,,4,3,4,3,3,2,3,2,1,3,2,4,2,1,1,1,2,1,2,2,2,1,1.035
24,3,23,3,"IDAHO",4,2,,,,,,,,,,,,,,,"SAME TEMPERATURES AS ALWAYS",1,3,2,2,2,2,4,4,4,1,98,2,4,2,1,1,2,2,2,2,1,2,1,1.385
25,3,25,4,"IDAHO",4,98,,,,,,,,,,,,,,,,,2,4,4,4,4,4,4,4,4,3,4,4,2,,,,,2,,,,2,0.55
26,3,20,4,"IDAHO",4,2,,,,,,,,,,,,,,,"PATTERNS",2,1,1,1,1,1,4,4,4,2,3,2,4,1,1,1,2,5,1,4,2,,2,0.01
27,4,3,3,"CALIFORNIA",4,1,2,1,1,1,"THE SNOW CAPS ARE MELTING",1,1,2,98,2,2,3,1,1,,,4,4,4,3,3,1,2,2,1,1,3,4,2,1,2,,4,2,2,2,5,2,0.41
28,3,25,3,"CALIFORNIA",4,1,1,1,1,1,"MELTING ICE",1,1,4,2,2,2,4,4,4,,,3,3,3,3,3,3,3,3,1,3,2,4,1,5,,,2,1,4,2,4,1,1.905
29,3,30,3,"TEXAS",2,1,2,3,2,1,"CRAZY WEATHER AND RISING TEMPATURES",3,2,1,2,1,4,4,2,1,,,3,3,3,3,3,4,4,4,1,3,2,3,3,9,2,,2,2,1,1,2,1,2.925
30,4,4,4,"TEXAS",2,2,,,,,,,,,,,,,,,"LOOKING BACK OVER THE YEARS THINGS GO IN CYCLES",2,2,2,3,2,2,4,4,4,6,,2,4,2,1,2,,2,1,2,1,,2,0.72
31,3,28,4,"TEXAS",2,98,,,,,,,,,,,,,,,,,1,98,3,1,1,4,4,4,1,1,1,4,3,1,,,2,1,3,,3,1,1.555
32,3,29,5,"NEW YORK",1,1,1,2,1,2,"PATTERNS OF AIR FLOW",10,1,2,1,2,1,3,1,3,,,4,4,4,4,4,4,4,4,1,2,1,4,2,1,1,2,1,1,4,3,6,2,1.04
33,3,27,4,"NEW YORK",1,1,2,1,1,2,"SHIFTING PLATES IN CALIFORNIA",10,1,2,1,2,1,2,1,2,,,4,4,3,3,3,98,4,4,1,3,4,3,1,2,1,1,5,1,1,1,4,2,0.66
34,3,22,3,"NEW YORK",1,98,,,,,,,,,,,,,,,,,4,2,1,1,2,4,4,4,1,3,4,3,3,2,1,2,3,1,3,3,,2,1.4
35,3,25,4,"PENNSYLVANIA",1,1,3,2,2,98,"SEASON MIXED UP",3,1,3,2,2,3,2,2,2,,,2,2,3,1,2,4,4,4,1,1,4,4,2,1,1,2,2,1,2,2,1,2,0.75
36,3,20,3,"PENNSLVANIA",1,98,,,,,,,,,,,,,,,,,3,2,3,2,2,2,4,4,4,3,98,3,3,1,2,,2,4,4,2,,1,1.345
37,3,22,3,"PENNSYLVANIA",1,1,1,1,1,1,"POLLUTION",8,1,1,1,1,2,1,2,1,,,3,3,4,4,3,4,4,4,4,3,4,4,2,2,1,2,2,98,,,1,2,1.73
38,3,21,3,"PENNSYLVANIA",1,1,2,1,2,1,"READING",6,2,2,2,1,2,4,4,2,,,3,4,4,3,4,3,2,3,1,1,3,4,3,1,1,2,5,2,4,4,6,1,0.645
39,4,3,4,"PENNSYLVANIA",1,1,1,3,1,1,"JUST LOOK AT ALL THE BAD WEATHER",3,1,1,4,1,4,3,1,4,,,4,4,4,3,4,4,4,4,1,3,4,3,3,1,1,1,2,1,1,4,2,2,0.76
40,3,29,3,"PENNSYLVANIA",1,1,1,3,1,1,"ITS GETTING HOTTER EVERY SUMMER AND SEASONS ARE SHRINKING NO MORE SPRING OR FALL",2,1,1,1,1,1,4,1,1,,,4,4,4,3,3,2,2,2,2,1,4,4,1,2,1,2,4,1,1,2,3,2,1.61
41,3,30,4,"PENNSYLVANIA",1,98,,,,,,,,,,,,,,,,,3,3,1,4,3,4,4,4,6,,4,3,2,1,2,,2,2,2,3,2,2,0.76
