"RespNum","Sample","Call_Date_Time","version_willing2pay","demog_age_open_coded","demog_state","demog_state_region","gw_belief","believer_confidence","believer_cause","believer_problem","believer_immediacy","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","believer_factor_extremes","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","nonbeliever_factor_weath","nonbeliever_factor_scievid","nonbeliever_factor_distort","gw_noevidence","gw_scioverstate","gw_mediaoverstate","state_neighborsact","govt_nostateaction","state_impactsfelt","religion_govtaction","state_fftax","state_captrade","state_rps_v1","state_gastax","captrade_support_calif","enrgysecfund_support","industrial_caa_action","willing2pay_list","willing2pay_open","willing2pay_open_coded","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_income","demog_gender","totalweight"
1,"l","4/1/2013 5:29:30 P","A",4,"MASSACHUSETTS","1",1,1,1,1,1,"GLACIERS",1,1,4,98,4,4,98,4,98,,,,,,,4,4,4,4,1,1,1,4,4,2,4,2,4,1,1,,,1,2,,3,1,4,3,3,1,0.725
2,"l","4/1/2013 5:34:05 P","A",3,"NORTH CAROLINA","2",2,,,,,"",,,,,,,,,,1,"WHAT I HAVE HEARD ON NEWS REPORTS",9,2,1,4,4,4,4,3,2,2,3,2,2,1,3,2,2,1,3,,,2,1,2,5,5,1,4,3,2,1.335
3,"l","4/1/2013 5:36:52 P","A",3,"TENNESSEE","2",1,1,3,1,1,"POLAR ICE CAPS MELTING",1,1,3,2,2,2,2,2,2,,,,,,,4,4,3,3,2,2,3,2,2,2,3,98,2,1,2,,,1,1,1,2,1,4,3,,1,0.84
4,"l","4/1/2013 5:39:03 P","A",3,"NORTH DAKOTA","3",1,2,1,1,1,"WARMER",2,2,1,2,2,2,98,98,2,,,,,,,2,3,3,3,1,2,4,1,3,1,4,2,2,1,1,,,2,1,1,2,1,1,3,1,1,1.335
5,"l","4/1/2013 5:39:06 P","A",3,"VIRGINIA","2",1,2,1,1,1,"RESEARCH",4,1,4,2,1,4,1,98,1,,,,,,,4,4,4,3,1,98,4,3,98,1,2,98,1,1,2,,,1,2,,4,5,4,2,2,2,0.84
6,"l","4/1/2013 5:43:29 P","A",4,"FLORIDA","2",1,2,1,2,2,"WEATHER",3,1,2,2,98,3,98,1,2,,,,,,,4,3,3,98,2,2,98,4,98,2,4,2,4,2,1,,,1,7,,2,1,2,2,1,2,0.725
7,"l","4/1/2013 5:43:56 P","A",4,"PENNSYLVANIA","1",2,,,,,"",,,,,,,,,,1,"FROM MY OBSERVATIONS",1,1,2,3,3,2,2,3,4,3,4,3,2,3,2,4,4,2,1,,,1,1,2,4,2,3,3,,2,0.725
8,"l","4/1/2013 5:47:29 P","A",4,"NEW JERSEY","1",1,1,1,1,1,"AL GORE",5,1,2,1,2,2,2,2,2,,,,,,,4,4,4,4,1,98,,2,2,1,2,1,1,1,4,,,1,,,5,2,,4,,2,0.725
9,"l","4/1/2013 5:48:10 P","A",4,"MARYLAND","2",1,2,2,2,98,"WARMER WEATHER IN WINTER AND NOT ALOT OF SNOW",2,2,1,3,1,2,2,2,2,,,,,,,2,98,3,98,2,98,4,98,2,2,2,2,3,2,1,,,1,1,2,4,1,4,3,,2,0.725
10,"l","4/1/2013 5:51:49 P","A",5,"FLORIDA","2",1,1,98,1,98,"INFORMATION FROM SCIENCE",4,2,2,98,4,3,98,4,4,,,,,,,4,4,4,4,98,4,4,98,98,4,4,98,98,98,,,,1,,,4,1,4,3,,2,0.93
11,"l","4/1/2013 5:54:16 P","A",3,"SOUTH CAROLINA","2",2,,,,,"",,,,,,,,,,1,"UP AND DOWN",2,4,1,1,1,1,1,4,4,4,4,4,4,4,1,4,4,2,1,,,,1,1,5,1,,2,,1,0.91
12,"l","4/1/2013 5:59:36 P","A",3,"OHIO","3",2,,,,,"",,,,,,,,,,1,"VERY COLD WINTERS",1,1,98,2,1,1,1,1,4,3,2,4,4,4,4,4,4,2,1,,,1,2,,4,1,2,1,5,2,0.84
13,"l","4/1/2013 6:00:36 P","A",3,"FLORIDA","2",1,1,3,1,1,"WEATHER  PATTERNS",3,1,2,2,1,2,1,1,1,,,,,,,4,4,4,4,1,2,4,2,1,1,3,1,1,1,2,,,1,6,,5,5,1,4,6,2,0.85
14,"l","4/1/2013 6:02:12 P","A",3,"PENNSYLVANIA","1",1,2,3,2,2,"MELTING ICE CAPS AND MEDIA STORIES",1,1,1,3,2,2,1,2,1,,,,,,,3,3,2,3,2,2,98,3,2,2,3,2,2,1,3,,,1,2,,2,1,1,1,3,1,0.84
15,"l","4/1/2013 6:03:23 P","A",4,"FLORIDA","2",98,,,,,"",,,,,,,,,,,,,,,,3,2,1,3,3,3,3,4,4,3,4,3,2,1,3,,,1,2,,3,2,4,3,4,2,0.725
16,"l","4/1/2013 6:06:26 P","A",4,"NEW JERSEY","1",1,1,3,1,1,"CHANGES IN LOCAL TEMPERATURES",2,1,1,1,1,1,1,1,1,,,,,,,1,4,3,1,1,1,3,4,1,1,4,2,1,1,1,,,2,6,,1,1,1,4,2,1,1.22
17,"l","4/1/2013 6:06:41 P","A",4,"VIRGINIA","2",1,1,1,1,1,"OZONE LAYER",10,1,2,2,2,2,2,2,2,,,,,,,4,4,4,3,1,2,4,2,2,1,2,2,1,1,3,,,2,1,2,3,1,1,5,,1,1.22
18,"l","4/1/2013 6:08:50 P","A",4,"NEW JERSEY","1",98,,,,,"",,,,,,,,,,,,,,,,3,3,2,2,4,98,4,4,2,2,4,98,1,1,2,,,1,1,2,2,1,1,3,1,2,0.725
19,"l","4/1/2013 6:10:06 P","A",3,"CONNECTICUT","1",98,,,,,"",,,,,,,,,,,,,,,,2,2,2,2,3,3,98,4,3,2,4,98,98,98,2,,,1,2,,3,3,1,2,4,1,0.84
20,"l","4/1/2013 6:10:31 P","A",3,"SOUTH CAROLINA","2",2,,,,,"",,,,,,,,,,1,"GOD",6,2,2,1,1,1,1,1,4,3,1,4,4,4,4,4,4,2,1,,,2,1,2,2,4,2,1,3,2,1.335
21,"l","4/1/2013 6:13:40 P","A",4,"FLORIDA","2",1,1,3,1,1,"GLACIAL MELTING",1,1,1,98,1,1,4,4,3,,,,,,,1,4,3,1,3,1,3,1,3,1,1,3,3,1,1,,,1,1,2,3,2,4,4,,1,0.725
22,"l","4/1/2013 6:15:07 P","A",4,"KENTUCKY","2",98,,,,,"",,,,,,,,,,,,,,,,98,98,98,98,98,98,98,4,98,2,4,98,2,98,98,,,1,1,1,2,1,4,3,,2,0.725
23,"l","4/1/2013 6:15:24 P","A",4,"NORTH CAROLINA","2",1,2,3,2,1,"WATCHING WEATHER OVER THE YEARS",3,1,1,4,3,3,1,1,3,,,,,,,4,4,3,1,4,2,4,2,1,1,4,98,1,1,2,,,1,2,,2,1,2,1,1,1,0.725
24,"l","4/1/2013 6:20:36 P","A",4,"NORTH CAROLINA","2",2,,,,,"",,,,,,,,,,1,"ALL THE REPORTS HAVE BEEN PROVEN IN THAT DIRECTION",5,1,1,1,1,1,1,4,4,4,4,4,3,4,4,98,4,2,1,,,1,1,2,5,1,3,1,,2,0.725
25,"c","4/1/2013 6:28:09 P","A",3,"CONNECTICUT","1",1,2,3,2,1,"SCIENTIFFIC TESTS SAY SO",4,1,2,2,2,3,1,2,1,,,,,,,4,3,3,3,2,2,,3,2,2,3,2,2,1,4,,,5,6,,5,5,4,4,6,2,0.91
26,"c","4/1/2013 6:28:36 P","A",4,"MINNESOTA","3",1,2,3,2,1,"POLAR BEARS AND PENGUINS",7,1,3,2,2,4,1,4,4,,,,,,,3,3,3,3,1,2,3,2,2,2,2,2,2,1,2,,,1,6,,3,1,,,,1,0.725
27,"c","4/1/2013 6:33:21 P","A",4,"MICHIGAN","3",2,,,,,"",,,,,,,,,,2,"EARTHS NATURAL CYCLES",2,2,2,2,1,1,1,1,4,3,2,4,4,4,4,3,3,2,1,,,1,7,,2,1,3,98,,1,0.725
28,"c","4/1/2013 6:33:48 P","A",4,"FLORIDA","2",2,,,,,"",,,,,,,,,,1,"WEATHER AND CLIMATE CHANGE RUNS IN CYCLES",2,1,4,4,1,1,1,1,4,4,4,4,2,2,4,2,2,1,1,,,1,1,2,3,2,1,3,2,1,0.725
29,"c","4/1/2013 6:35:10 P","A",2,"FLORIDA","2",1,2,2,2,1,"HOTTER",2,98,1,1,2,98,1,1,1,,,,,,,3,3,1,1,1,1,1,3,98,1,4,98,4,1,2,,,1,1,1,2,5,4,5,2,2,1.18
30,"c","4/1/2013 6:35:13 P","A",3,"NORTH CAROLINA","2",1,1,3,1,1,"HOT, THE WINTERS ARE WARM",2,2,2,4,1,1,2,2,98,,,,,,,98,98,4,2,2,1,1,4,1,2,1,4,1,1,98,,,1,1,1,1,1,2,1,1,98,0.84
31,"c","4/1/2013 6:36:50 P","A",1,"MARYLAND","2",1,1,1,1,2,"DATA",4,1,2,1,3,2,1,3,2,,,,,,,4,4,4,4,1,1,4,1,1,1,1,2,1,1,4,,,1,6,,3,5,3,5,6,2,1.555
