"closup_id","SampleType","VersionAB","VersionCD","Date","demog_age_list","demog_state","demog_state_region","gw_belief","believer_confidence","believer_cause","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","believer_factor_extremes","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","nonbeliever_factor_weath","nonbeliever_factor_scievid","nonbeliever_factor_distort","carbontax_support","carbontax_support_info","carbontax_cost10pct","carbontax_revneutral_v1","carbontax_revneutral_v1_info","carbontax_rev4research_v1","carbontax_rev4research_v1_info","carbontax_rev4debt_v2","carbontax_rev4debt_v2_info","carbontax_revfed_v2","willing2pay_temprise_5","willing2pay_temprise_10","willing2pay_temprise_20","willing2pay_temprise_40","willing2pay_certain","willing2pay_temprise_most_coded","discountrate_2pct","discountrate_2pct_info","discountrate_5pct","discountrate_5pct_info","discountrate_10pct","discountrate_10pct_info","discountrate_20pct","discountrate_20pct_info","discountrate_44pct","discountrate_44pct_info","discountrate_76pct","discountrate_76pct_info","discountrate_open_coded","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_persfinance","demog_income","feedback_understand","demog_gender","Weight"
1,"l","A","D","3/27/2014 9:44:34",3,"MO",3,2,,,,,,,,,,,,,2,"HISTORY",2,1,4,4,4,,4,4,,4,,4,,1,2,,,,,1,,1,,2,,,,,,,,,2,1,2,,3,1,4,3,3,2,2,1,0.5
2,"l","B","D","4/1/2014 8:31:40 P",3,"CA",4,1,1,1,"SHORELINE",11,1,3,2,3,3,1,1,3,,,,,,,,2,4,,2,,2,,4,2,1,,,,2,2,,1,,1,,1,,2,,,,,2,1,1,2,4,2,1,4,3,4,1,1,0.48
3,"l","A","D","3/25/2014 9:26:31",4,"AK",4,2,,,,,,,,,,,,,1,"CYCLES",2,4,4,1,4,,4,4,,4,,4,,1,2,,,,,1,,2,,,,,,,,,,,1,1,1,1,5,4,2,1,3,4,1,2,0.65
4,"l","B","C","3/24/2014 8:09:36",4,"AL",2,1,4,98,"DO NOT THINK SO",10,4,4,4,4,4,4,4,4,,,,,,,,4,4,,4,,4,,4,98,,,2,,,1,1,,1,,1,,1,,1,,1,,1,1,1,1,3,1,2,1,2,3,1,2,0.64
5,"c","A","C","4/2/2014 9:56:10 P",1,"AL",2,2,,,,,,,,,,,,,1,"CYCLES",2,4,3,98,4,,4,4,,1,,1,,2,1,,,,1,1,2,,,,,,,,,,,,1,1,1,2,3,5,2,2,1,2,1,1,1.45
6,"c","B","D","4/3/2014 7:54:52 P",4,"Az",4,1,1,2,"ALL INFORMATION",4,2,3,4,4,3,4,3,3,,,,,,,,4,4,,4,,4,,4,4,,,,2,,1,,1,,1,,1,,1,,1,,1,1,1,1,2,5,5,3,1,2,6,1,1,0.49
7,"c","A","D","4/1/2014 6:42:25 P",3,"AZ",4,2,,,,,,,,,,,,,2,"NO CHANGE",1,1,4,4,4,,2,2,,98,,2,,2,,98,,,,1,,1,,1,,98,,,,,,,1,1,1,2,1,1,4,3,2,1,2,1,1.25
8,"c","A","D","4/3/2014 6:45:50 P",4,"AZ",4,2,,,,,,,,,,,,,1,"CYCLES",2,4,4,4,4,,4,4,,4,,4,,98,2,,,,,1,,1,,1,,1,,1,,1,,1,1,1,,,2,1,2,2,3,2,1,2,0.84
9,"l","A","D","4/1/2014 8:12:52 P",4,"CA",4,2,,,,,,,,,,,,,2,"DO NOT FEEL THE HEAT",1,2,3,2,4,,4,4,,4,,4,,98,,,,2,,1,,,,,,,,,,,,,1,1,1,2,5,2,1,4,3,,1,2,0.59
10,"c","A","D","4/9/2014 11:55:28",1,"CA",4,1,1,3,"DATA",4,1,3,1,4,3,4,1,1,,,,,,,1,,1,4,,1,,4,,3,,,,2,,1,,1,,2,,,,,,,,,1,1,7,,5,2,4,4,3,3,1,1,1.3
11,"l","B","D","3/25/2014 6:25:42",3,"CO",4,2,,,,,,,,,,,,,1,"BECAUSE THEY ARE NOT",9,4,4,4,,98,98,,2,,98,,4,98,,,2,,,1,,1,,1,,1,,1,,1,,1,1,1,1,2,4,1,2,1,1,2,1,2,0.5
12,"l","A","C","3/26/2014 7:30:01",3,"CT",1,1,1,3,"WEATHER PATTERNS",3,2,3,3,4,1,2,4,1,,,,,,,3,,3,4,,4,,4,,3,,2,,,,1,2,,,,,,,,,,,,1,1,2,,3,1,2,2,3,6,1,1,0.68
13,"l","A","D","3/26/2014 5:28:51",4,"FL",2,2,,,,,,,,,,,,,1,"NOT SURE",9,2,2,2,4,,4,4,,4,,4,,3,,,,2,,1,,1,,1,,1,,1,,1,,1,1,1,2,,4,1,4,,3,,3,1,0.38
14,"l","A","D","3/27/2014 7:02:12",3,"FL",2,2,,,,,,,,,,,,,1,"NATURAL PATTERNS",2,2,2,1,3,,3,2,,3,,4,,1,,2,,,,1,,1,,1,,1,,1,,1,,1,1,1,2,,3,1,2,1,3,1,1,1,0.65
15,"l","A","D","3/26/2014 8:59:00",3,"IA",3,1,2,3,"WEATHER",3,3,1,4,1,1,4,1,1,,,,,,,4,,4,4,,1,,4,,2,,,,2,,1,,,,,,,,,,,,,1,1,,,3,5,2,4,3,2,1,2,0.68
