"RespNumb","SAMPLE","VERSION","demog_age_list","demog_state","demog_state_region","weather_pastwinter","weather_snow","weather_pastsummer_v2","weather_today","gw_belief","believer_confidence","believer_cause","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","believer_factor_extremes","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","nonbeliever_factor_weath","nonbeliever_factor_scievid","nonbeliever_factor_distort","weather_extremes","weather_gwimpact","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_income","demog_gender","DATE","TotalWeight"
1,"C","A",3,"NC",2,5,5,5,5,98,,,,,,,,,,,,,,,,,,,1,2,2,6,,3,1,1,4,2,2,"4/5/2016 5:09:46 P",1.4
2,"C","A",3,"NV",4,1,6,2,2,1,1,2,"MORE HOTTER OUT",2,4,98,98,4,1,4,2,2,,,,,,,1,1,2,2,,2,1,1,3,1,2,"4/5/2016 5:11:41 P",1.6
3,"C","A",2,"FL",2,5,6,5,5,98,,,,,,,,,,,,,,,,,,,98,98,98,6,,4,98,4,2,3,1,"4/5/2016 5:11:45 P",0.925
4,"C","A",3,"NV",4,3,1,5,5,2,,,,,,,,,,,,,1,"ALL CYCLICAL",2,2,1,1,3,4,1,2,,3,1,2,1,2,1,"4/5/2016 5:15:50 P",0.835
5,"C","A",1,"CO",4,5,1,1,5,1,2,1,"EXTERMINATION OF FORESTS AROUND THE WORLD",10,1,1,2,1,3,2,2,1,,,,,,,3,2,9,2,,3,5,4,4,2,1,"4/5/2016 5:23:30 P",2.205
6,"C","A",2,"MA",1,1,4,5,3,1,1,1,"CHEMICAL WASTE",8,2,1,2,1,1,2,2,1,,,,,,,1,1,10,2,,4,3,4,98,,1,"4/5/2016 5:24:47 P",0.925
7,"C","A",3,"IA",3,5,3,5,5,1,3,2,"A CYCLE THAT WERE IN",9,3,3,2,3,4,98,1,2,,,,,,,3,4,1,1,1,3,1,4,3,4,1,"4/5/2016 5:26:32 P",0.835
8,"C","A",3,"NC",2,5,5,5,5,2,,,,,,,,,,,,,1,"TEMPS GO THRU PHASES",2,4,4,4,3,4,1,1,2,2,5,2,1,4,1,"4/5/2016 5:26:59 P",0.935
9,"C","A",1,"TX",2,2,6,5,5,1,2,2,"DATA REPORTS",4,3,4,2,1,4,4,1,1,,,,,,,1,2,1,1,98,4,5,2,3,4,2,"4/5/2016 5:29:58 P",1.29
10,"C","A",4,"WA",4,1,4,1,1,1,1,1,"MAN  FOSSIL FUELS",8,1,1,1,1,3,1,1,1,,,,,,,1,1,1,6,,5,2,4,3,,1,"4/5/2016 5:45:19 P",0.135
