FY,Resolution,Party,Yes,No
1976,First,Democrats,197,68
1976,Second,Democrats,214,67
1977,First,Democrats,208,44
1977,Second,Democrats,215,38
1977,Third,Democrats,225,50
1978,First (first round),Democrats,82,185
1978,First (second round),Democrats,206,58
1978,Second,Democrats,195,59
1979,First,Democrats,198,61
1979,Second,Democrats,215,42
1980,First,Democrats,211,50
1980,Second (first round),Democrats,188,67
1980,Second (second round),Democrats,212,52
1980,Third,Democrats,218,45
1981,First,Democrats,203,62
1981,Second,Democrats,201,45
1982,First,Democrats,84,153
1982,Second,Democrats,70,150
1983,First,Democrats,63,174
1984,First,Democrats,225,36
1985,First,Democrats,229,29
1986,First,Democrats,234,15
1987,First,Democrats,228,19
1988,First,Democrats,212,34
1989,First,Democrats,227,24
1990,First,Democrats,157,96
1991,First,Democrats,218,34
1992,First,Democrats,231,25
1993,First,Democrats,209,47
1994,First,Democrats,242,11
1995,First,Democrats,222,11
1996,First,Democrats,8,191
1997,First,Democrats,4,191
1998,First,Democrats,132,72
1999,First,Democrats,3,194
2000,First,Democrats,3,204
2001,First,Democrats,6,202
2002,First,Democrats,3,202
2003,First,Democrats,1,206
2004,First,Democrats,1,199
2005,First,Democrats,0,201
2006,First,Democrats,0,201
2007,First,Democrats,0,197
2008,First,Democrats,216,12
2009,First,Democrats,212,16
2010,First,Democrats,233,20
2011,First,Democrats,215,38
2012,First,Democrats,0,189
2013,First,Democrats,0,181
2014,First,Democrats,0,197
2015,First,Democrats,0,193
2016,First,Democrats,0,182
2017,First,Democrats,0,189
2018,First,Democrats,0,188
1976,First,Republicans,3,128
1976,Second,Republicans,11,124
1977,First,Republicans,13,111
1977,Second,Republicans,12,113
1977,Third,Republicans,14,119
1978,First (first round),Republicans,2,135
1978,First (second round),Republicans,7,121
1978,Second,Republicans,4,129
1979,First,Republicans,3,136
1979,Second,Republicans,2,136
1980,First,Republicans,9,134
1980,Second (first round),Republicans,4,146
1980,Second (second round),Republicans,0,154
1980,Third,Republicans,23,129
1981,First,Republicans,22,131
1981,Second,Republicans,2,146
1982,First,Republicans,186,1
1982,Second,Republicans,136,50
1983,First,Republicans,156,32
1984,First,Republicans,4,160
1985,First,Republicans,21,139
1986,First,Republicans,24,155
1987,First,Republicans,17,160
1988,First,Republicans,3,167
1989,First,Republicans,92,78
1990,First,Republicans,106,61
1991,First,Republicans,0,174
1992,First,Republicans,8,155
1993,First,Republicans,0,159
1994,First,Republicans,0,172
1995,First,Republicans,0,164
1996,First,Republicans,230,1
1997,First,Republicans,212,19
1998,First,Republicans,201,26
1999,First,Republicans,213,9
2000,First,Republicans,218,0
2001,First,Republicans,213,5
2002,First,Republicans,218,2
2003,First,Republicans,219,2
2004,First,Republicans,214,12
2005,First,Republicans,215,10
2006,First,Republicans,218,12
2007,First,Republicans,218,12
2008,First,Republicans,0,198
2009,First,Republicans,0,191
2010,First,Republicans,0,176
2011,First,Republicans,0,172
2012,First,Republicans,235,4
2013,First,Republicans,228,10
2014,First,Republicans,221,10
2015,First,Republicans,219,12
2016,First,Republicans,228,17
2017,First,Republicans,227,9
2018,First,Republicans,219,18
1976,First,Total,200,196
1976,Second,Total,225,191
1977,First,Total,221,155
1977,Second,Total,227,151
1977,Third,Total,239,169
1978,First (first round),Total,84,320
1978,First (second round),Total,213,179
1978,Second,Total,199,188
1979,First,Total,201,197
1979,Second,Total,217,178
1980,First,Total,220,184
1980,Second (first round),Total,192,213
1980,Second (second round),Total,212,206
1980,Third,Total,241,174
1981,First,Total,225,193
1981,Second,Total,203,191
1982,First,Total,270,154
1982,Second,Total,206,200
1983,First,Total,219,206
1984,First,Total,229,196
1985,First,Total,250,168
1986,First,Total,258,170
1987,First,Total,245,179
1988,First,Total,215,201
1989,First,Total,319,102
1990,First,Total,263,157
1991,First,Total,218,208
1992,First,Total,239,181
1993,First,Total,209,207
1994,First,Total,243,183
1995,First,Total,223,175
1996,First,Total,238,194
1997,First,Total,216,211
1998,First,Total,333,99
1999,First,Total,216,204
2000,First,Total,221,205
2001,First,Total,220,208
2002,First,Total,222,205
2003,First,Total,221,209
2004,First,Total,215,212
2005,First,Total,215,212
2006,First,Total,218,214
2007,First,Total,218,210
2008,First,Total,216,210
2009,First,Total,212,207
2010,First,Total,233,196
2011,First,Total,215,210
2012,First,Total,235,193
2013,First,Total,228,191
2014,First,Total,221,207
2015,First,Total,219,205
2016,First,Total,228,199
2017,First,Total,227,198
2018,First,Total,219,206
