Fiscal Year,Resolution,Party,Yes,No
1976,First,Democrats,50,4
1976,Second,Democrats,50,8
1977,First,Democrats,45,6
1977,Second,Democrats,41,5
1977,Third,Democrats,55,3
1978,First ,Democrats,41,14
1978,Second,Democrats,46,8
1979,First,Democrats,48,8
1979,Second,Democrats,42,6
1980,First,Democrats,44,5
1980,Second,Democrats,45,14
1981,First,Democrats,49,6
1981,Second,Democrats,33,21
1982,First,Democrats,28,18
1982,Second,Democrats,2,44
1983,First,Democrats,3,41
1984,First,Democrats,29,17
1985,First,Democrats,1,31
1986,First,Democrats,1,45
1987,First,Democrats,38,6
1988,First,Democrats,50,3
1989,First,Democrats,44,6
1990,First,Democrats,38,17
1991,First,Democrats,.,.
1992,First,Democrats,49,7
1993,First,Democrats,36,16
1994,First,Democrats,54,2
1995,First,Democrats,55,0
1996,First,Democrats,3,42
1997,First,Democrats,0,46
1998,First,Democrats,37,8
1999,First,Democrats,3,44
2000,First ,Democrats,0,44
2001,First,Democrats,0,44
2001,First,Democrats,0,44
2002,First,Democrats,15,35
2003,.,Democrats,.,.
2004,First,Democrats,6,42
2005,First,Democrats,1,43
2006,First,Democrats,0,44
2007,First,Democrats,1,43
2008,First,Democrats,48,0
2009,First,Democrats,47,1
2010,First,Democrats,53,2
2011,.,Democrats,.,.
2012,.,Democrats,.,.
2013,.,Democrats,.,.
2014,First,Democrats,48,4
2015,.,Democrats,.,.
2016,First,Democrats,0,44
2017,First,Democrats,0,47
2018,First,Democrats,0,48
1976,First,Republicans,19,18
1976,Second,Republicans,19,15
1977,First,Republicans,17,16
1977,Second,Republicans,14,18
1977,Third,Republicans,17,17
1978,First ,Republicans,15,17
1978,Second,Republicans,17,13
1979,First,Republicans,16,19
1979,Second,Republicans,14,12
1980,First,Republicans,20,15
1980,Second,Republicans,17,22
1981,First,Republicans,19,22
1981,Second,Republicans,15,25
1982,First,Republicans,50,2
1982,Second,Republicans,47,4
1983,First,Republicans,46,2
1984,First,Republicans,21,32
1985,First,Republicans,40,3
1986,First,Republicans,49,4
1987,First,Republicans,32,19
1988,First,Republicans,3,43
1989,First,Republicans,25,20
1990,First,Republicans,30,14
1991,Firstb,Republicans,.,.
1992,First,Republicans,8,34
1993,First,Republicans,16,25
1994,First,Republicans,0,43
1995,First,Republicans,2,40
1996,First,Republicans,54,0
1997,First,Republicans,53,0
1998,First,Republicans,41,14
1999,Firstc,Republicans,54,0
2000,First ,Republicans,54,0
2001,First,Republicans,50,4
2001,First,Republicans,50,4
2002,First,Republicans,50,0
2003,.,Republicans,.,.
2004,First,Republicans,50,1
2005,First,Republicans,50,1
2006,First,Republicans,51,4
2007,First,Republicans,50,5
2008,First,Republicans,2,47
2009,First,Republicans,2,43
2010,First,Republicans,0,41
2011,.,Republicans,.,.
2012,.,Republicans,.,.
2013,.,Republicans,.,.
2014,First,Republicans,0,45
2015,.,Republicans,.,.
2016,First,Republicans,52,2
2017,First,Republicans,51,1
2018,First,Republicans,51,1
1976,First,Total,69,22
1976,Second,Total,69,23
1977,First,Total,62,22
1977,Second,Total,55,23
1977,Third,Total,72,20
1978,First ,Total,56,31
1978,Second,Total,63,21
1979,First,Total,64,27
1979,Second,Total,56,18
1980,First,Total,64,20
1980,Second,Total,62,36
1981,First,Total,68,28
1981,Second,Total,48,46
1982,First,Total,78,20
1982,Second,Total,49,48
1983,First,Total,49,43
1984,First,Total,50,49
1985,First,Total,41,34
1986,First,Total,50,49
1987,First,Total,70,25
1988,First,Total,53,46
1989,First,Total,69,26
1990,First,Total,68,31
1991,First,Total,.,.
1992,First,Total,57,41
1993,First,Total,52,41
1994,First,Total,54,45
1995,First,Total,57,40
1996,First,Total,57,42
1997,First,Total,53,46
1998,First,Total,78,22
1999,First,Total,57,41
2000,First ,Total,54,44
2001,First,Total,50,48
2001,First,Total,50,48
2002,First,Total,65,35
2003,.,Total,.,.
2004,First,Total,56,44
2005,First,Total,51,45
2006,First,Total,51,49
2007,First,Total,51,49
2008,First,Total,52,47
2009,First,Total,51,44
2010,First,Total,55,43
2011,.,Total,.,.
2012,.,Total,.,.
2013,.,Total,.,.
2014,First,Total,50,49
2015,.,Total,.,.
2016,First,Total,52,46
2017,First,Total,51,48
2018,First,Total,51,49
