congress,chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
0,house,A000055,Aderholt,AL,4,Republican,110,0.9727272727272728,0.95137162,63
115,house,A000055,Aderholt,AL,4,R,95,0.968421052631579,0.94634916,63
116,house,A000055,Aderholt,AL,4,R,15,1,0.98318055,63
0,house,A000367,Amash,MI,3,Republican,110,0.5909090909090909,0.81039883,9.4
115,house,A000367,Amash,MI,3,R,96,0.5416666666666666,0.84738551,9.4
116,house,A000367,Amash,MI,3,R,14,0.9285714285714286,0.55677589,9.4
0,house,A000369,Amodei,NV,2,Republican,109,0.9908256880733946,0.84977787,12.3
115,house,A000369,Amodei,NV,2,R,94,0.9893617021276596,0.87652676,12.3
116,house,A000369,Amodei,NV,2,R,15,1,0.6821515,12.3
0,house,A000370,Adams,NC,12,Democrat,107,0.14953271028037382,0.17523264,-40
115,house,A000370,Adams,NC,12,D,92,0.17391304347826086,0.20378724,-40
116,house,A000370,Adams,NC,12,D,15,0,9.778e-5,-40
0,house,A000371,Aguilar,CA,31,Democrat,109,0.23853211009174313,0.27123906,-21.1
115,house,A000371,Aguilar,CA,31,D,94,0.2765957446808511,0.31386763,-21.1
116,house,A000371,Aguilar,CA,31,D,15,0,0.00409997,-21.1
0,house,A000372,Allen,GA,12,Republican,110,0.9727272727272728,0.8924347,16.2
115,house,A000372,Allen,GA,12,R,95,0.968421052631579,0.90578921,16.2
116,house,A000372,Allen,GA,12,R,15,1,0.80785619,16.2
0,house,A000374,Abraham,LA,5,Republican,107,0.9345794392523364,0.94348097,29.4
115,house,A000374,Abraham,LA,5,R,96,0.9270833333333334,0.9458395,29.4
116,house,A000374,Abraham,LA,5,R,11,1,0.9228974,29.4
0,house,A000375,Arrington,TX,19,Republican,110,0.9636363636363636,0.95237524,49
115,house,A000375,Arrington,TX,19,R,95,0.968421052631579,0.94961009,49
116,house,A000375,Arrington,TX,19,R,15,0.9333333333333333,0.9698878,49
0,house,A000376,Allred,TX,32,Democrat,14,0,0.10656808,-1.9
116,house,A000376,Allred,TX,32,D,14,0,0.10656808,-1.9
