"treatment","wave2","completematch","Bgetsmag","post","times","surveyed","Bfemale","reportedage","Bvoted2004","Bvoted2002","Bvoted2001","Bconsumer","Bpreferrepub","Bpreferdem","Bprefernoone","paper","voted","voteddem","voteddem_all","preferdem","voteddem2","mostimp_scandals","iraq_post","bushapproval","repfavorable","demunfavorable","iraq","leak","alito","iraqdead","libby","miers","getapaper","gettimes","getpost","readfrqr","readsome","conservative","consindexgen","consindexpol","factindex","doperator1","doperator2","doperator3","doperator4","doperator5","doperator6","doperator7","doperator8","doperator9","doperator10","doperator11","doperator12","doperator13","doperator14","doperator15","doperator16","doperator17","doperator18","doperator19","doperator20","doperator21","doperator22","doperator23","doperator24","doperator25","doperator26","doperator27","doperator28","doperator29","doperator30","doperator31","doperator32","doperator33","doperator34","doperator35","doperator36","doperator37","doperator38","doperator39","doperator40","doperator41","doperator42","doperator43","doperator44","doperator45","doperator46","doperator47","doperator48","doperator49","doperator50","doperator51","doperator52","doperator53","doperator54","doperator55","doperator56","doperator57","doperator58","doperator59","doperator60","doperator61","doperator62","doperator63","doperator64","doperator65","doperator66","doperator67","doperator68","doperator69","doperator70","doperator71","doperator72","doperator73","doperator74","doperator75","doperator76","doperator77","doperator78","doperator79","doperator80","doperator81","doperator82","doperator83","doperator84","doperator85","doperator86","doperator87","doperator88","doperator89","doperator90","doperator91","doperator92","doperator93","doperator94","doperator95","doperator96","doperator97","doperator98","doperator99","doperator100","doperator101","cells","voted2006g","voted2005g","voted2004g","voted2003g","voted2002g","voted2001g","voted2000g","treatmentn","MBfemale","Mreportedage","MBvoted2004","MBvoted2002","MBvoted2001","MBconsumer","MBgetsmag","MBpreferdem","MBpreferrepub","MBprefernoone","Mwave2","MZBfemale","MZreportedage","MZBvoted2004","MZBvoted2002","MZBvoted2001","MZBconsumer","MZBgetsmag","MZBpreferdem","MZBpreferrepub","MZBprefernoone","MZwave2"
"TIMES",0,"yes",0,0,1,1,0,61,0,0,0,1,0,0,0,1,1,1,1,,1,1,1,,2,2,2,1,2,1,1,1,1,1,1,3,1,4,-.4851584732532501,.08488096296787262,.5485787391662598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,1,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,1,0,0,0,0,0
"TIMES",0,,0,0,1,0,0,,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"POST",0,"yes",0,1,0,0,1,,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,1,1,1,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"CONTROL",0,"yes",0,0,0,0,0,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CONTROL",0,,0,0,0,0,0,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"POST",0,,0,1,0,0,0,,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TIMES",0,,0,0,1,0,0,,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CONTROL",0,,0,0,0,1,0,39,0,0,0,1,0,0,0,0,0,,0,0,0,1,1,4,3,2,2,2,3,1,1,1,0,0,0,1,0,5,.3552033603191376,.6599894165992737,.5485787391662598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,1,0,0,0,0,0
"TIMES",0,"yes",0,0,1,0,1,,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,0,0,1,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"POST",0,"yes",1,1,0,1,1,62,0,0,0,1,0,0,0,1,1,1,1,,1,1,0,1,1,3,0,1,2,1,1,1,1,0,1,1,0,2,-.9627034664154053,-.7242280840873718,.5485787391662598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,62,0,0,0,1,1,0,0,0,0
"POST",0,"yes",0,1,0,0,0,,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,1,0,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CONTROL",0,,0,0,0,0,0,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
