,,,,,Public's top policy priorities for Trump and Congress,,,,,,,,
,,,,,,,,,,,,,
% who say __ is a top priority for Trump and Congress,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total,,Age,,,,,Gender,,,Education,,
,,,18-29,30-49,50-64,65+,,Men,Women,,HS or less,Some coll,Coll grad+
Strengthening the nation's economy ,70,,68,66,71,77,,68,72,,72,76,63
,,,,,,,,,,,,,
Reducing health care costs,69,,67,66,69,76,,63,75,,72,67,66
,,,,,,,,,,,,,
Improving the educational system,68,,73,70,65,63,,59,77,,73,67,63
,,,,,,,,,,,,,
Defending the country from future terrorist attacks,67,,52,64,72,80,,67,67,,77,70,53
,,,,,,,,,,,,,
Taking steps to make the Social Security system financially sound,67,,51,61,74,79,,63,71,,70,73,57
,,,,,,,,,,,,,
Taking steps to make the Medicare system financially sound,67,,57,65,68,76,,63,70,,71,66,62
,,,,,,,,,,,,,
Dealing with the problems of poor and needy people,60,,55,62,58,63,,54,65,,62,59,58
,,,,,,,,,,,,,
Protecting the environment,56,,68,53,52,53,,48,63,,58,50,58
,,,,,,,,,,,,,
Dealing with the issue of immigration,51,,42,42,58,65,,49,54,,50,54,51
,,,,,,,,,,,,,
Improving the job situation,50,,51,45,50,58,,45,56,,63,46,39
,,,,,,,,,,,,,
Reducing crime,50,,40,45,53,63,,46,54,,65,50,32
,,,,,,,,,,,,,
Dealing with drug addiction,49,,52,41,49,61,,49,50,,53,56,39
,,,,,,,,,,,,,
Reducing the budget deficit,48,,45,44,54,49,,46,51,,53,47,45
,,,,,,,,,,,,,
Addressing race relations in this country,46,,40,42,47,54,,42,49,,47,41,49
,,,,,,,,,,,,,
Strengthening the U.S. military,45,,25,40,57,54,,46,45,,55,49,31
,,,,,,,,,,,,,
"Improving the country's roads, bridges and public transportation systems",45,,34,37,53,56,,47,43,,52,42,39
,,,,,,,,,,,,,
Dealing with global climate change,44,,52,43,41,42,,42,46,,38,40,54
,,,,,,,,,,,,,
Dealing with global trade issues,39,,29,33,47,49,,41,38,,46,41,31
,,,,,,,,,,,,,
"Source: Survey of U.S. adults conducted Jan. 9-14, 2019.",,,,,,,,,,,,,
