subject,ideology,partisanship,education,income,VaccineOpinion,NewVacPers,StockVacPers,bc,bic,comp_combine,fear_flu,black,white,age,treatment,female,dfear_flu,dangry_flu,fxbc_f,fxbic_f,fxcbc_f,anxbc_f,anxbic_f,anxcbc_f
246,6,7,3,7,2,4,6,0,0,1,2,1,0,22,3,0,0,0,0,0,0,0,0,0
190,1,4,3,4,6,,4,0,1,0,1,1,0,21,2,0,0,0,0,0,0,0,0,0
215,4,2,6,1,4,4,4,0,0,1,3,1,0,19,3,1,0,1,0,0,0,0,0,1
177,4,3,3,1,3,,4,0,1,0,6,1,0,19,2,0,1,1,0,1,0,0,1,0
213,3,3,3,4,7,3,,1,0,0,4,1,0,22,1,1,0,0,0,0,0,0,0,0
103,4,4,6,4,7,1,1,0,0,1,2,1,0,23,3,1,0,0,0,0,0,0,0,0
101,7,4,3,4,7,5,4,0,0,1,4,1,0,46,3,0,0,0,0,0,0,0,0,0
108,2,1,6,7,7,,1,0,1,0,1,1,0,31,2,1,0,1,0,0,0,0,1,0
148,4,3,6,4,5,,3,0,1,0,4,1,0,23,2,1,0,0,0,0,0,0,0,0
195,1,9,3,5,4,1,,1,0,0,1,1,0,23,1,0,0,1,0,0,0,1,0,0
166,3,4,6,4,3,1,,1,0,0,2,1,0,22,1,0,0,0,0,0,0,0,0,0
149,3,3,3,6,5,5,4,0,0,1,6,1,0,,3,0,1,1,0,0,1,0,0,1
185,3,3,2,5,5,,5,0,1,0,4,1,0,19,2,1,0,0,0,0,0,0,0,0
225,5,1,4,3,7,1,,1,0,0,6,1,0,27,1,1,1,0,1,0,0,0,0,0
226,8,4,,1,6,,,0,0,0,1,1,0,26,0,0,0,1,0,0,0,0,0,0
267,2,2,2,6,6,5,5,0,0,1,4,1,0,21,3,0,0,1,0,0,0,0,0,1
198,4,1,6,5,7,,7,0,1,0,7,1,0,36,2,1,1,1,0,1,0,0,1,0
237,2,2,6,6,7,4,1,0,0,1,5,1,0,20,3,1,1,1,0,0,1,0,0,1
274,3,2,3,1,3,,3,0,1,0,5,1,0,20,2,1,1,0,0,1,0,0,0,0
204,7,4,6,1,7,6,,1,0,0,1,1,0,24,1,1,0,0,0,0,0,0,0,0
254,1,8,6,6,4,,,0,0,0,5,1,0,19,0,1,1,1,0,0,0,0,0,0
259,8,8,,1,,1,1,0,0,1,1,1,0,22,3,0,0,0,0,0,0,0,0,0
227,1,4,3,4,4,,,0,0,0,6,1,0,22,0,1,1,1,0,0,0,0,0,0
214,4,3,5,2,4,4,,1,0,0,4,1,0,51,1,0,0,1,0,0,0,1,0,0
224,2,8,2,8,1,,,0,0,0,1,1,0,19,0,0,0,1,0,0,0,0,0,0
234,3,4,6,4,4,3,4,0,0,1,2,1,0,24,3,1,0,0,0,0,0,0,0,0
306,2,2,6,8,5,3,,1,0,0,5,1,0,20,1,1,1,0,1,0,0,0,0,0
127,2,3,2,,7,,,0,0,0,5,1,0,24,0,1,1,1,0,0,0,0,0,0
118,2,2,3,3,7,5,,1,0,0,4,1,0,22,1,1,0,1,0,0,0,1,0,0
137,4,4,6,4,4,,,0,0,0,2,1,0,29,0,0,0,1,0,0,0,0,0,0
126,4,3,6,4,6,,6,0,1,0,6,1,0,25,2,0,1,1,0,1,0,0,1,0
