nervous,frightened,afraid,jittery,education,white,rep,dem,age,income,female,feardisp,fearphotos,proL_antiL,proG_antiL,proL_antiG,proG_antiG,BanGaySupport,arg_treatment,anxiety
9,3,4,0,6,1,0,0,39,8,0,-0.893008173,1,1,0,0,0,0,1,4
8,10,1,34,5,1,0,1,45,6,1,-0.333740532,0,0,0,0,1,4,2,13.25
16,2,8,26,5,0,0,0,32,5,0,-0.391481608,0,1,0,0,0,0,1,13
16,0,,,3,1,0,1,25,4,0,0.47313416,0,0,0,1,0,32,4,8
43,0,34,92,3,1,0,1,30,3,1,1.341362238,0,1,0,0,0,90,1,42.25
13,1,0,4,5,1,0,0,56,1,1,-1.130760312,1,0,0,0,1,1,2,4.5
0,0,0,0,3,0,0,1,37,6,0,-1.130760312,0,0,1,0,0,30,3,0
8,10,6,14,3,1,0,1,35,2,0,-0.811931789,1,0,0,0,1,16,2,9.5
30,41,24,35,5,1,0,0,80,3,0,0.085893892,1,1,0,0,0,0,1,32.5
63,45,44,28,5,1,0,0,28,6,0,0.196591258,1,1,0,0,0,0,1,45
1,0,1,0,5,1,1,0,37,2,1,0.517580271,0,1,0,0,0,4,1,0.5
27,7,15,56,2,0,0,1,30,5,1,1.142689347,0,0,1,0,0,97,3,26.25
1,4,1,18,5,1,1,0,29,4,0,1.636817217,1,1,0,0,0,34,1,6
21,18,20,17,2,0,0,0,25,3,0,1.900150418,1,1,0,0,0,90,1,19
1,1,2,1,5,0,0,1,38,6,1,-0.655255973,1,1,0,0,0,8,1,1.25
0,0,0,10,5,1,1,0,56,3,0,-0.029922897,0,0,0,1,0,19,4,2.5
10,0,0,0,3,1,0,0,48,3,0,-0.89493221,0,0,0,0,1,40,2,2.5
0,2,0,1,2,1,0,1,57,1,1,0.050737154,0,0,0,1,0,39,4,0.75
0,0,0,0,5,1,0,0,29,5,1,-0.169849545,0,0,1,0,0,0,3,0
5,7,8,3,3,1,0,1,52,5,1,-0.864695668,0,1,0,0,0,1,1,5.75
9,4,10,10,6,1,0,1,44,3,1,0.172364429,1,0,0,1,0,0,4,8.25
0,0,0,0,6,1,0,1,,7,0,-1.130760312,0,1,0,0,0,59,1,0
2,0,0,2,3,1,0,1,49,1,0,-0.508688629,1,0,0,1,0,1,4,1
0,0,0,0,5,1,0,1,23,4,1,0.223261937,0,0,0,0,1,0,2,0
1,1,1,1,6,1,0,1,36,5,0,-0.589398444,0,0,0,1,0,0,4,1
6,4,0,2,6,1,0,1,32,6,1,-0.77772516,1,0,0,0,1,2,2,3
30,10,10,20,3,1,0,0,26,4,1,-0.420445681,0,0,0,1,0,40,4,17.5
15,5,5,19,5,0,0,0,26,3,1,0.14116469,0,0,1,0,0,70,3,11
21,0,0,0,5,1,0,0,31,4,1,-1.130760312,1,0,0,1,0,0,4,5.25
