"informative","foodforthought","hostrating","unfair","cooperative","hostile","skewed","bad","evenhanded","unAmerican","proatt","mod","hostilemed","hostiletv"
2,2,80,5,7,7,5,4,2,4,0,1,-0.260624557733536,0.29055592417717
2,3,50,4,6,3,4,5,6,3,0,0,0.461030870676041,0.29055592417717
3,3,99,7,4,6,8,5,2,5,0,1,0.252983152866364,0.29055592417717
1,1,50,8,3,7,8,3,1,1,0,1,-0.260624557733536,0.29055592417717
2,5,70,3,3,6,3,5,2,3,0,1,0.461030870676041,0.29055592417717
2,2,99,4,5,6,4,3,5,2,1,0,0.461030870676041,0.29055592417717
3,3,76,6,5,5,6,4,4,2,1,0,-0.0525768436491489,0.29055592417717
1,1,99,3,6,4,5,5,5,4,0,1,-2.23147130012512,-1.94213843345642
2,3,99,9,1,9,9,5,1,5,0,0,0.461030870676041,0.29055592417717
2,5,99,5,9,5,5,5,4,2,1,0,-0.0525768436491489,0.29055592417717
1,1,50,2,4,3,3,3,7,1,1,0,0.461030870676041,0.29055592417717
2,5,99,2,7,2,3,4,3,2,1,0,0.461030870676041,0.29055592417717
1,2,99,5,8,3,7,1,1,1,0,0,-0.346331924200058,-0.734023988246918
3,5,35,4,2,6,6,5,5,5,,0,0.461030870676041,0.29055592417717
3,4,50,4,5,6,4,4,4,3,0,1,0.461030870676041,0.29055592417717
2,3,80,6,5,6,6,5,3,4,0,1,0.461030870676041,0.29055592417717
3,2,40,3,3,6,6,4,3,3,0,1,0.461030870676041,0.29055592417717
1,3,40,5,2,5,3,3,4,2,1,0,0.252983152866364,0.29055592417717
2,2,50,5,5,2,1,2,5,5,1,0,-0.702453017234802,-0.917558491230011
2,2,99,4,3,5,5,4,2,5,0,0,0.461030870676041,0.29055592417717
5,5,0,9,2,8,7,7,1,5,0,0,0.461030870676041,0.29055592417717
3,3,75,5,5,6,7,5,3,5,1,0,-0.0525768436491489,0.29055592417717
3,4,75,2,5,6,7,1,3,1,1,0,0.461030870676041,0.29055592417717
2,2,99,1,8,2,6,1,2,1,1,0,-0.859939634799957,-0.734023988246918
1,2,99,1,5,7,4,2,5,2,1,0,0.252983152866364,0.29055592417717
3,3,60,6,3,7,6,5,2,2,1,0,0.461030870676041,0.29055592417717
1,2,80,3,5,5,1,1,5,1,1,0,-0.468672275543213,0.29055592417717
2,4,5,7,1,8,9,9,1,1,1,0,0.461030870676041,0.29055592417717
2,3,50,5,9,6,6,4,6,3,0,1,-0.859939634799957,-0.734023988246918
2,3,25,7,3,7,7,9,6,1,0,1,-1.72966837882996,-0.917558491230011
4,2,50,2,3,4,2,1,2,1,0,1,0.252983152866364,0.29055592417717
3,3,60,4,4,7,6,5,6,4,0,1,0.461030870676041,0.29055592417717
2,2,50,3,9,3,2,2,7,3,1,0,0.461030870676041,0.29055592417717
3,3,,4,4,5,6,5,4,3,0,1,-0.0525768436491489,0.29055592417717
2,2,99,3,3,7,6,3,3,2,1,0,-1.42410838603973,-0.917558491230011
2,5,99,2,7,2,4,2,8,5,0,0,-0.0525768436491489,0.29055592417717
3,3,30,7,3,8,9,5,1,3,0,0,0.461030870676041,0.29055592417717
2,3,50,5,4,5,3,6,5,3,1,0,0.461030870676041,0.29055592417717
2,3,50,3,3,4,3,6,6,7,1,0,0.461030870676041,0.29055592417717
3,3,45,3,6,4,4,6,7,2,1,0,-1.5098158121109,-1.94213843345642
2,1,50,7,2,7,8,7,2,1,0,0,0.252983152866364,0.29055592417717
5,4,0,6,2,7,7,8,2,5,0,0,0.461030870676041,0.29055592417717
1,1,99,4,3,6,6,3,1,7,1,0,0.461030870676041,0.29055592417717
3,3,55,7,4,8,8,6,4,3,1,0,0.461030870676041,0.29055592417717
1,2,99,3,2,4,3,1,4,1,1,0,0.461030870676041,0.29055592417717
2,2,99,5,9,3,5,2,5,2,1,0,-0.346331924200058,-0.734023988246918
3,5,99,4,8,1,6,1,6,1,1,0,0.461030870676041,0.29055592417717
3,2,10,1,2,8,1,5,8,1,0,0,0.461030870676041,0.29055592417717
1,1,50,6,1,8,7,5,1,6,0,1,0.252983152866364,0.29055592417717
2,1,99,8,1,9,8,8,1,9,1,0,0.252983152866364,0.29055592417717
3,5,55,6,4,5,7,6,4,5,0,0,0.461030870676041,0.29055592417717
3,2,60,7,3,5,8,5,2,5,0,1,-0.260624557733536,0.29055592417717
3,3,20,8,1,9,8,6,1,5,0,0,0.461030870676041,0.29055592417717
2,3,65,6,1,6,4,5,4,5,0,1,-2.83078622817993,-2.96671843528748
4,2,30,7,1,7,8,6,2,6,0,1,-0.0525768436491489,0.29055592417717
3,4,80,6,4,6,6,5,4,2,1,0,0.461030870676041,0.29055592417717
1,1,90,2,3,5,1,1,9,1,1,0,-2.23147130012512,-1.94213843345642
2,1,99,6,5,6,9,1,1,2,1,0,0.461030870676041,0.29055592417717
1,2,90,4,7,2,4,1,3,2,1,0,-0.0525768436491489,0.29055592417717
3,3,5,9,2,8,9,7,1,6,0,0,0.461030870676041,0.29055592417717
5,6,0,7,1,8,8,7,5,5,1,0,0.461030870676041,0.29055592417717
2,2,70,5,5,5,8,4,6,4,1,0,-0.0525768436491489,0.29055592417717
5,5,10,9,1,9,9,5,1,5,0,0,0.461030870676041,0.29055592417717
1,1,80,2,7,1,5,1,1,1,1,0,0.461030870676041,0.29055592417717
1,2,99,3,2,7,3,5,6,1,1,0,-0.702453017234802,-0.917558491230011
2,3,50,4,4,5,5,5,5,4,1,0,,
2,3,75,3,4,6,4,4,5,5,0,1,,
