"poli_time","Dnfc","lib","con","libshow","conshow","proatt","counteratt","choice","forcedmod","control","foxunbal","msnbcunbal","mstreamunbal","deependivide","extremevoice","resist_op","mip_taxIneq"
66,0,1,0,0,0,0,0,1,0,0,2,3,2,7,7,1,0
,0,1,0,0,1,0,1,0,0,0,2,3,3,7,7,6.66666650772095,0
,0,1,0,0,1,0,1,0,0,0,3,3,4,5,5,2.33333325386047,0
,1,0,1,0,0,0,0,0,0,1,3,1,1,3,3,1,0
,1,1,0,0,1,0,1,0,0,0,2,3,2,6,5,2.66666674613953,0
416,1,1,0,0,0,0,0,1,0,0,4,3,3,6,6,5.33333349227905,0
,1,0,1,1,0,0,1,0,0,0,1,1,1,4,4,6.33333349227905,0
14,0,1,0,0,0,0,0,1,0,0,2,2,3,7,4,2.33333325386047,0
,1,0,0,0,1,0,0,0,1,0,4,4,4,4,4,1,0
,1,1,0,1,0,1,0,0,0,0,3,2,2,7,4,4.33333349227905,0
399,1,1,0,0,0,0,0,1,0,0,4,1,2,7,7,3.66666674613953,0
,1,1,0,0,1,0,1,0,0,0,2,2,2,5,4,3.33333325386047,0
,1,0,0,0,1,0,0,0,1,0,2,2,2,6,6,2,0
,1,0,0,1,0,0,0,0,1,0,2,2,1,7,7,1.33333337306976,0
,0,1,0,0,0,0,0,0,0,1,4,2,2,6,7,3,0
67,0,0,0,0,0,0,0,1,0,0,3,2,3,6,6,1,0
432,0,1,0,0,0,0,0,1,0,0,4,3,2,5,5,5,1
,0,0,0,0,1,0,0,0,1,0,2,2,2,7,5,1.33333337306976,0
16,0,0,0,0,0,0,0,1,0,0,3,3,3,7,5,2.66666674613953,0
,1,1,0,0,0,0,0,0,0,1,2,3,2,6,4,4,0
,1,1,0,0,0,0,0,0,0,1,3,2,2,4,5,3.33333325386047,0
153,1,0,0,0,0,0,0,1,0,0,2,3,2,7,5,1,0
,1,0,0,1,0,0,0,0,1,0,4,1,2,7,6,1,0
,0,1,0,1,0,1,0,0,0,0,1,3,2,6,4,3.66666674613953,0
,0,0,1,0,1,1,0,0,0,0,3,3,3,6,6,1.66666662693024,1
,0,0,1,0,0,0,0,0,0,1,1,2,3,3,5,3,0
72,0,1,0,0,0,0,0,1,0,0,2,3,2,7,7,1,0
,0,0,1,0,0,0,0,0,0,1,1,4,2,4,4,1,0
424,0,1,0,0,0,0,0,1,0,0,2,3,2,7,7,1,0
,0,0,0,0,0,0,0,0,0,1,4,2,2,7,4,3.66666674613953,0
25,1,1,0,0,0,0,0,1,0,0,3,2,4,7,7,2.66666674613953,0
,0,0,0,0,0,0,0,0,0,1,3,3,2,5,3,2,0
,1,0,1,0,0,0,0,0,0,1,3,3,3,7,5,2.33333325386047,0
365,1,0,0,0,0,0,0,1,0,0,4,3,3,7,7,1.66666662693024,1
375,1,0,1,0,0,0,0,1,0,0,2,4,3,7,7,1,0
