"time_watching_hardball","choice","hardball","politrust","avc","control"
,0,0,3.5,0,1
205.100006103516,1,0,4.33333301544189,1,0
,0,1,3.08333301544189,0,0
,0,1,2.33333301544189,1,0
,0,1,3.66666698455811,1,0
,0,1,4.08333301544189,1,0
,0,1,3.58333301544189,0,0
,0,0,2.41666698455811,1,1
27.0100002288818,1,0,3.33333301544189,0,0
,0,1,3.75,0,0
,0,1,3.66666698455811,0,0
,0,0,3.91666698455811,0,1
,0,0,3.33333301544189,0,1
,0,0,3.5,1,1
,0,1,4.41666698455811,0,0
593.400024414063,1,0,3.66666698455811,0,0
411.100006103516,1,0,3.5,0,0
,0,0,4,1,1
617.299987792969,1,0,3.83333301544189,1,0
,0,1,3.5,1,0
437.100006103516,1,0,3.91666698455811,1,0
,0,1,3.33333301544189,0,0
,1,0,3.16666698455811,0,0
567.099975585938,1,0,4,1,0
548.200012207031,1,0,3.25,0,0
119.900001525879,1,0,2.91666698455811,0,0
9.19999980926514,1,0,3.58333301544189,1,0
,0,0,4,0,1
523,1,0,2.58333301544189,0,0
,0,1,1.33333301544189,1,0
0,1,0,3.33333301544189,1,0
,0,0,3.91666698455811,0,1
,0,0,3.25,0,1
,0,1,3.75,0,0
,1,0,3.66666698455811,0,0
,0,0,4,1,1
,0,1,3.5,0,0
,0,0,3.66666698455811,0,1
,1,0,3.91666698455811,0,0
,0,0,1.91666698455811,1,1
332,1,0,4.75,1,0
,0,0,5.41666698455811,0,1
125.099998474121,1,0,3.08333301544189,1,0
,0,0,2.66666698455811,1,1
,0,1,3.16666698455811,0,0
,0,1,3,1,0
,0,0,4.25,0,1
0,1,0,4.66666698455811,1,0
73.8000030517578,1,0,3.5,0,0
8,1,0,3.16666698455811,1,0
,0,0,3.58333301544189,1,1
,0,0,3.16666698455811,0,1
557.200012207031,1,0,4.5,0,0
10,1,0,3.5,1,0
,0,0,3.66666698455811,1,1
574,1,0,3,0,0
4.19999980926514,1,0,3.41666698455811,0,0
22.7999992370605,1,0,4.75,1,0
,0,1,5.08333301544189,0,0
,0,1,3.58333301544189,0,0
,0,0,4.25,0,1
,0,1,3.58333301544189,0,0
,0,1,3.41666698455811,1,0
,0,1,3.33333301544189,1,0
18.7999992370605,1,0,3.83333301544189,1,0
24.1000003814697,1,0,3.66666698455811,0,0
0,1,0,3.16666698455811,0,0
550,1,0,3.25,0,0
,0,1,4.16666698455811,1,0
576.900024414063,1,0,4.41666698455811,1,0
,0,0,3.41666698455811,0,1
105.099998474121,1,0,3.41666698455811,1,0
,0,1,3.83333301544189,0,0
,0,0,4.08333301544189,0,1
9.10000038146973,1,0,3.75,1,0
,0,1,3.5,1,0
,0,0,3,1,1
7.09999990463257,1,0,3.58333301544189,1,0
0,1,0,2.25,1,0
175.800003051758,1,0,3.75,1,0
,0,0,4.5,0,1
,0,0,3.5,1,1
,0,1,3.33333301544189,1,0
,0,0,3.16666698455811,1,1
,0,1,1.5,1,0
,0,0,3.08333301544189,0,1
,0,1,3.83333301544189,1,0
,0,1,1.66666698455811,0,0
0,1,0,2.91666698455811,1,0
,0,1,4.08333301544189,1,0
112.800003051758,1,0,4.08333301544189,1,0
,0,0,3.83333301544189,1,1
,0,1,3.91666698455811,0,0
,0,1,2.91666698455811,1,0
545.200012207031,1,0,3.5,0,0
,0,0,4.16666698455811,0,1
464.100006103516,1,0,4,0,0
,0,1,3.41666698455811,0,0
27.1000003814697,1,0,4.16666698455811,1,0
,0,0,3.16666698455811,1,1
332.200012207031,1,0,2.91666698455811,0,0
,0,1,3,0,0
,0,0,4.16666698455811,0,1
2.29999995231628,1,0,3.91666698455811,1,0
,0,0,4.33333301544189,1,1
,0,1,3.83333301544189,1,0
,0,0,3.83333301544189,1,1
219,1,0,3.83333301544189,0,0
,0,0,3.83333301544189,1,1
,0,0,1.91666698455811,0,1
,0,0,4,0,1
507.899993896484,1,0,3.5,0,0
,0,0,3.33333301544189,1,1
362.100006103516,1,0,4.25,0,0
,0,0,4,1,1
72.0999984741211,1,0,3.58333301544189,1,0
568.200012207031,1,0,4.91666698455811,0,0
,0,1,4.83333301544189,1,0
,0,0,4.83333301544189,1,1
,0,0,3.66666698455811,1,1
