"mip_oneword","lib","con","acbo_over","acbo_iraq","acbo_health","acbo_terror","acbo_immig","acbo_econ","proatt","counteratt","choice","acbo_av5","forcedmod","poli_time","carehc","orielly","olbermann","mip_econ","control","acbo_av6"
"economy",0,1,4,4,3,3,3,4,1,0,0,3.40000009536743,0,,2,1,0,1,0,3.5
"economy",0,1,4,3,3,4,4,4,0,0,1,3.59999990463257,0,19.7329998016357,0,0,0,1,0,3.66666698455811
"education",0,1,4,4,4,1,4,4,0,0,0,3.40000009536743,0,,2,0,0,0,1,3.5
"economy",1,0,3,1,1,3,2,2,0,0,1,1.79999995231628,0,22.6669998168945,3,0,0,1,0,2
"economy",1,0,1,2,3,4,3,3,0,0,1,3,0,552.1669921875,3,0,0,1,0,2.66666698455811
"economy",1,0,3,2,2,3,4,3,0,1,0,2.79999995231628,0,,3,1,0,1,0,2.83333301544189
"politics",1,0,4,4,4,4,2,4,0,1,0,3.59999990463257,0,,3,1,0,0,0,3.66666698455811
"economy",0,0,4,4,4,4,4,4,0,0,0,4,0,,0,0,0,1,1,4
"politics",1,0,4,3,3,4,3,3,0,0,1,3.20000004768372,0,828.966003417969,1,0,0,0,0,3.33333301544189
"economy",1,0,3,3,3,4,3,2,0,1,0,3,0,,2,1,0,1,0,3
"economy",1,0,3,2,2,3,3,3,1,0,0,2.59999990463257,0,,1,0,1,1,0,2.66666698455811
"economy",0,0,1,3,3,3,3,4,0,0,0,3.20000004768372,1,,1,1,0,1,0,3.16666698455811
"economy",1,0,2,3,3,2,3,3,0,0,0,2.79999995231628,0,,1,0,0,1,1,2.66666698455811
"economy",1,0,4,4,4,4,3,3,0,0,1,3.59999990463257,0,22,2,0,0,1,0,3.66666698455811
"economy",0,1,4,4,4,3,4,4,0,0,0,3.79999995231628,0,,1,0,0,1,1,3.83333301544189
"economy",1,0,2,3,4,3,2,2,0,1,0,2.79999995231628,0,,0,1,0,1,0,2.66666698455811
"economy",0,1,1,4,4,4,3,4,1,0,0,3.79999995231628,0,,2,1,0,1,0,3.66666698455811
"politics",0,1,1,3,3,3,3,3,0,0,1,3,0,77.4330062866211,2,0,0,0,0,3
"economy",1,0,3,3,3,3,3,2,0,0,0,2.79999995231628,0,,2,0,0,1,1,2.83333301544189
"immigration",1,0,2,2,2,3,1,2,0,1,0,2,0,,1,1,0,0,0,2
"war",0,1,4,4,4,4,4,4,0,1,0,4,0,,2,0,1,0,0,4
"health care",0,0,4,1,1,1,4,4,0,0,0,2.20000004768372,1,,3,0,1,0,0,2.5
"environment",1,0,3,2,3,4,2,3,0,1,0,2.79999995231628,0,,2,1,0,0,0,2.83333301544189
"economy",1,0,3,2,2,3,3,3,0,0,0,2.59999990463257,0,,1,0,0,1,1,2.66666698455811
"health care",0,1,4,4,4,1,1,4,1,0,0,2.79999995231628,0,,3,1,0,0,0,3
"economy",0,1,4,4,4,3,4,3,1,0,0,3.59999990463257,0,,2,1,0,1,0,3.66666698455811
"economy",1,0,2,2,2,3,3,1,0,0,1,2.20000004768372,0,91.1500015258789,2,0,0,1,0,2.16666698455811
"immigration",1,0,3,3,3,3,2,1,0,0,1,2.40000009536743,0,,2,0,0,0,0,2.5
"economy",1,0,3,3,4,2,3,3,0,0,0,3,0,984.649963378906,2,0,0,1,1,3
"economy",0,1,4,3,4,4,4,3,0,0,0,3.59999990463257,0,,0,0,0,1,1,3.66666698455811
"economy",0,0,1,4,4,4,3,4,0,0,0,3.79999995231628,1,,1,1,0,1,0,3.66666698455811
"politics",1,0,3,3,3,3,2,3,0,0,0,2.79999995231628,0,,3,0,0,0,1,2.83333301544189
"economy",1,0,3,3,3,1,2,2,0,0,0,2.20000004768372,0,,1,0,0,1,1,2.33333301544189
"economy",1,0,2,2,2,3,3,2,0,0,1,2.40000009536743,0,112.416000366211,3,0,0,1,0,2.33333301544189
"economy",1,0,3,2,2,4,3,3,0,0,1,2.79999995231628,0,803.617004394531,3,0,0,1,0,2.83333301544189
"economy",1,0,4,3,3,4,3,3,1,0,0,3.20000004768372,0,,2,0,1,1,0,3.33333301544189
"politics",0,0,4,3,3,4,4,4,0,0,0,3.59999990463257,1,,1,0,1,0,0,3.66666698455811
"economy",0,0,1,4,4,4,3,4,0,0,0,3.79999995231628,1,,0,0,1,1,0,3.66666698455811
"immigration",0,0,4,4,4,4,4,4,0,0,0,4,1,,1,0,1,0,0,4
"economy",1,0,3,3,3,3,3,4,1,0,0,3.20000004768372,0,,2,0,1,1,0,3.16666698455811
"economy",1,0,3,3,3,3,3,3,0,1,0,3,0,,3,1,0,1,0,3
"economy",1,0,2,3,3,3,3,3,1,0,0,3,0,,0,0,1,1,0,2.83333301544189
"economy",1,0,3,2,2,4,3,3,0,0,1,2.79999995231628,0,,1,0,0,1,0,2.83333301544189
"economy",0,1,4,4,4,4,4,4,1,0,0,4,0,,1,1,0,1,0,4
"economy",1,0,3,2,2,3,3,2,0,0,0,2.40000009536743,0,,2,0,0,1,1,2.5
"politics",0,1,1,3,3,4,4,4,0,0,1,3.59999990463257,0,752.617004394531,1,0,0,0,0,3.5
"economy",0,1,4,3,3,4,3,4,1,0,0,3.40000009536743,0,,1,1,0,1,0,3.5
"politics",0,1,4,4,4,4,3,4,1,0,0,3.79999995231628,0,,2,1,0,0,0,3.83333301544189
"economy",1,0,3,3,3,3,3,2,0,0,1,2.79999995231628,0,653,1,0,0,1,0,2.83333301544189
"economy",0,1,1,3,3,4,3,3,1,0,0,3.20000004768372,0,,2,1,0,1,0,3.16666698455811
"economy",0,0,4,4,4,1,4,3,0,0,0,3.20000004768372,1,,0,0,1,1,0,3.33333301544189
"economy",0,1,4,3,3,4,4,3,0,0,1,3.40000009536743,0,216.800003051758,2,0,0,1,0,3.5
"economy",1,0,3,3,3,3,2,2,1,0,0,2.59999990463257,0,,1,0,1,1,0,2.66666698455811
"economy",0,1,4,3,3,4,4,4,0,0,1,3.59999990463257,0,31.75,1,0,0,1,0,3.66666698455811
"economy",1,0,3,3,3,4,3,2,0,0,0,3,0,,2,0,0,1,1,3
"economy",0,1,4,4,4,1,4,4,0,0,1,3.40000009536743,0,821.299987792969,2,0,0,1,0,3.5
"economy",0,1,1,3,3,4,4,4,0,0,0,3.59999990463257,0,,2,0,0,1,1,3.5
"economy",1,0,3,3,3,4,2,4,0,0,1,3.20000004768372,0,922.567016601563,2,0,0,1,0,3.16666698455811
"economy",0,0,1,4,4,4,3,4,0,0,1,3.79999995231628,0,921.033020019531,0,0,0,1,0,3.33333301544189
"health care",1,0,4,4,4,4,4,4,1,0,0,4,0,,3,0,1,0,0,4
"economy",0,0,1,3,3,4,4,4,0,0,1,3.59999990463257,0,,3,0,0,1,0,3.5
"immigration",1,0,3,3,3,3,2,2,1,0,0,2.59999990463257,0,579.5,2,0,1,0,0,2.66666698455811
"economy",0,1,1,4,4,4,4,3,0,0,1,3.79999995231628,0,361.483001708984,1,0,0,1,0,3.66666698455811
"economy",0,1,4,4,4,4,4,4,0,0,1,4,0,49.0670013427734,3,0,0,1,0,4
"economy",1,0,3,2,2,3,2,3,0,0,0,2.40000009536743,0,,2,0,0,1,1,2.5
"economy",0,1,4,4,4,4,4,1,0,1,0,3.40000009536743,0,,1,0,1,1,0,3.5
"war",1,0,3,4,3,3,2,2,0,1,0,2.79999995231628,0,,3,1,0,0,0,2.83333301544189
"economy",0,1,1,3,3,3,3,3,0,1,0,3,0,,2,0,1,1,0,3
"economy",1,0,4,3,3,3,3,2,1,0,0,2.79999995231628,0,,3,0,1,1,0,3
"economy",0,0,4,4,4,4,4,4,0,0,1,4,0,601.967041015625,2,0,0,1,0,4
"health care",1,0,3,3,3,3,3,3,0,0,1,3,0,541.166015625,0,0,0,0,0,3
"health care",1,0,3,4,3,1,2,2,0,0,1,2.40000009536743,0,897.150024414063,3,0,0,0,0,2.5
"economy",1,0,3,3,3,4,3,3,1,0,0,3.20000004768372,0,,3,0,1,1,0,3.16666698455811
"economy",1,0,3,3,3,2,3,3,0,0,0,2.79999995231628,0,,1,0,0,1,1,2.83333301544189
"economy",1,0,2,3,3,3,3,2,0,0,1,2.79999995231628,0,152.567001342773,1,0,0,1,0,2.66666698455811
"politics",1,0,3,3,3,4,4,4,0,0,1,3.59999990463257,0,0,3,0,0,0,0,3.5
"economy",1,0,4,3,3,2,1,4,0,1,0,2.59999990463257,0,,2,1,0,1,0,2.83333301544189
"economy",0,1,4,1,4,4,4,3,0,1,0,3.20000004768372,0,,3,0,1,1,0,3.33333301544189
"economy",1,0,3,2,2,4,3,1,0,0,1,2.40000009536743,0,868.216003417969,3,0,0,1,0,2.5
"economy",1,0,3,3,3,3,3,3,1,0,0,3,0,,1,0,1,1,0,3
"economy",1,0,4,1,1,1,3,1,0,0,0,1.39999997615814,0,,0,0,0,1,1,1.83333301544189
"immigration",0,1,4,3,3,4,3,4,0,0,1,3.40000009536743,0,884.134033203125,2,0,0,0,0,3.5
