"id","finisheddate","party","elected","occupation","redevelop_con","republican","democrat","election_partisan","success","failure","diffussion_interested","formofgovernment","townmeetingbasedpolicy"
"R_5mVPBMpTGePrOUl","8/7/12 15:53",1,2,2,0,1,0,0,0,1,0,4,
"R_08ONePEsJjqxe9D","7/26/12 0:29",,,,,,,,,,,5,0
"R_d6TPOhQxnvfKbJj","8/6/12 9:35",2,3,1,1,0,1,1,1,0,1,4,0
"R_77fjOhTvdJ24jeR","8/6/12 8:46",2,3,2,1,0,1,1,,,,4,0
"R_4U7Q5czCVqINYMZ","9/3/12 0:38",2,2,2,1,0,1,0,0,1,1,5,0
"R_4ZrH3NT9SkbQRaR","7/26/12 16:36",,-99,-99,,,,,0,1,,5,0
"R_2awM2eAVppCPR7n","8/16/12 14:19",1,2,2,0,1,0,0,0,1,0,7,1
"R_erDC0skHZpAGFfL","7/25/12 10:28",,,,,,,,,,,7,1
"R_d07rbzuwlrVC4YJ","8/6/12 8:58",1,3,2,0,1,0,1,1,0,1,7,1
"R_0qUWgCjRWIorD13","7/30/12 7:25",3,-99,2,0,0,0,,1,0,0,4,0
"R_6PV0WSVpAAD0plr","8/7/12 11:37",1,-99,2,0,1,0,,0,1,1,7,0
"R_1EP0euREZ1MFvff","8/14/12 21:51",1,2,2,1,1,0,0,1,0,1,5,0
"R_20lDfx2cDgq9P4F","8/6/12 9:47",3,2,2,0,0,0,0,0,1,0,7,1
"R_e5pjSbHJnjIWgsJ","8/17/12 10:36",,,,,,,,,,,7,1
"R_babwcdAw8dtYLwV","8/8/12 15:56",,,,,,,,,,,4,0
"R_9TgiQFbtprAH1rL","7/25/12 16:43",1,2,2,0,1,0,0,0,1,1,4,
"R_eFEZ6OMxlAaJ12d","8/6/12 15:40",1,2,2,0,1,0,0,0,1,0,4,0
"R_7WnK75EGXL4pwSp","8/14/12 12:42",2,3,2,1,0,1,1,0,1,0,4,0
"R_7839cnPEXwodKmx","8/9/12 2:25",1,,,,1,0,,,,,,
"R_003FFST7Oh0BkoJ","8/6/12 10:46",1,2,2,1,1,0,0,0,1,0,4,0
"R_1GI1WgHmHV17z01","8/14/12 11:59",3,2,2,1,0,0,0,1,0,1,5,0
"R_0AifxGkNqW18jFX","8/14/12 9:55",2,3,2,1,0,1,1,0,1,1,5,0
"R_eEwIG0GuqtyxK5v","7/31/12 16:55",,-99,-99,,,,,,,,4,0
"R_eEuf6Q4cm3oYJaB","7/26/12 18:26",3,2,2,1,0,0,0,0,1,1,4,0
"R_blxsiZu8JCOd9Qh","8/14/12 11:49",2,3,2,1,0,1,1,,,,4,0
"R_6eOb3KuBy6d5Z8V","8/6/12 11:35",2,2,2,1,0,1,0,0,1,1,5,0
"R_8GlUYAJJ9ifqgh7","7/25/12 12:24",1,2,2,1,1,0,0,0,1,0,4,0
"R_6SxrsQzlSsbK1SJ","7/25/12 9:31",2,3,1,1,0,1,1,0,1,0,4,0
"R_bQ7heliYqhv7LWB","8/6/12 12:47",1,2,1,0,1,0,0,1,0,1,5,0
"R_0CEqqXLRs9tAyTr","8/6/12 10:58",2,2,1,1,0,1,0,0,1,1,4,0
"R_cNgPpq5LU1OEM8l","8/14/12 10:01",,,,,,,,,,,5,0
"R_8vrji5f4ll0bp1r","8/15/12 8:07",3,2,1,0,0,0,0,0,1,0,4,0
"R_ctZlFCk3IyhecNn","8/14/12 13:40",,-99,-99,,,,,1,0,,4,0
"R_3LhmrjLqzX7NFFH","8/3/12 13:41",,-99,-99,,,,,0,1,,4,0
"R_0BSpcnCNMzDAuWh","7/25/12 23:27",3,2,2,0,0,0,0,0,1,0,7,0
"R_9Mn014EAjJFd0Il","7/25/12 11:37",3,2,2,0,0,0,0,1,0,0,4,0
"R_6ViGQawiR49rIk5","8/16/12 12:38",1,3,2,1,1,0,1,0,1,1,5,0
"R_0OLc15gWeamkHyt","8/6/12 12:13",2,3,1,1,0,1,1,1,0,1,5,1
"R_4OW32x8eV0jpBw9","8/14/12 20:42",1,2,2,1,1,0,0,1,0,0,5,0
"R_2mMJ9TLwsTfuWZT","7/25/12 17:39",2,2,2,1,0,1,0,0,1,1,4,0
"R_7PP4Wawtidj3hdz","7/25/12 11:36",2,2,2,0,0,1,0,1,0,1,4,0
"R_9GH8GeDoXZHJUnH","8/6/12 9:31",2,2,2,1,0,1,0,1,0,0,4,0
"R_71froVPc664RlOZ","7/25/12 20:25",1,2,1,1,1,0,0,,,,5,0
"R_8GKRsFVpBHPlLdX","8/6/12 12:50",3,2,2,0,0,0,0,0,1,1,,
"R_cvV5pj9yTM6iMjr","8/6/12 9:59",2,3,2,1,0,1,1,1,0,0,4,0
"R_0uifFkoADBUaYrX","7/25/12 9:28",1,2,2,1,1,0,0,0,1,0,,
"R_eeW8EOz7jqxYCpL","8/12/12 13:01",3,2,2,1,0,0,0,0,1,0,,
"R_cXWHadVLuK5NOtL","7/30/12 12:00",,-99,-99,,,,,0,1,,4,
"R_7R4B2wzAyE2m9gh","7/26/12 21:32",2,3,1,0,0,1,1,1,0,0,7,0
"R_bJIjjhZkZuEJ01L","7/25/12 13:29",3,2,2,0,0,0,0,0,1,1,5,0
"R_8dABv6s7PrkJNmR","7/31/12 11:24",2,2,2,1,0,1,0,1,0,1,5,0
"R_elpzynXLEBxt8EJ","7/25/12 12:29",2,2,2,1,0,1,0,1,0,1,5,0
"R_6KWxxJuzG38NZqJ","7/26/12 11:42",1,2,2,0,1,0,0,0,1,1,5,0
"R_0IoihcQdG99X8Gx","7/26/12 15:46",1,2,1,1,1,0,0,,,,4,0
"R_bPzCBbyYiwqH7h3","7/25/12 15:00",2,2,2,1,0,1,0,1,0,1,4,0
"R_djr2q2EZixYRdMV","8/6/12 16:40",3,2,2,0,0,0,0,0,1,0,7,1
"R_6n9e4qWc5kCG3pr","8/6/12 11:39",3,2,1,1,0,0,0,1,0,1,7,1
"R_eyTqtA0bx7nLPi5","8/6/12 9:24",3,2,2,1,0,0,0,0,1,1,5,0
"R_40dHoojOTLGOaVv","7/26/12 16:24",1,2,1,1,1,0,0,1,0,0,5,0
"R_1YzMMDXqgWsNPOB","8/7/12 13:16",3,2,2,0,0,0,0,1,0,0,4,0
"R_bE2Fn1xrnBKE3YN","7/25/12 9:51",5,3,2,1,0,0,1,1,0,1,5,0
"R_3xbDIn5mgKM28zX","8/15/12 23:43",2,,,,0,1,,,,,4,0
"R_4IuAzk0TEHLyp6J","8/14/12 12:01",2,3,2,1,0,1,1,1,0,1,4,0
"R_8xgaf195EnfueBT","7/25/12 9:26",3,2,1,1,0,0,0,,,,7,1
"R_3CSJ8uBdA1vSReJ","7/25/12 10:55",1,2,-99,1,1,0,0,0,1,1,,
"R_3Dw5yjDiowlLVKB","8/6/12 16:36",2,2,2,0,0,1,0,1,0,1,6,0
"R_8hMkh6rX8afSttb","8/9/12 11:28",2,2,2,0,0,1,0,0,1,0,5,0
"R_bCRQfhHeTdjv5eR","7/30/12 16:39",,,,,,,,,,,4,0
