"id","finisheddate","party","elected","occupation","foreclosure_problem","republican","democrat","election_partisan","treatment_republican","treatment_democrat","matched_party","diffussion_interested","formofgovernment","townmeetingbasedpolicy"
"R_8jDIujOz9NhmlE1","8/6/12 14:47",3,2,1,1,0,0,0,0,1,,1,6,0
"R_9FTr5LhdCFp7zpP","8/16/12 20:09",1,2,1,1,1,0,0,0,1,0,0,5,0
"R_81RxjEk0dhhu5I9","8/18/12 11:48",1,2,2,0,1,0,0,0,1,0,0,5,0
"R_0iywdpn5JZVRKu1","8/6/12 9:09",1,3,1,0,1,0,1,1,0,1,1,6,1
"R_0VAkOvUn7bdt2df","8/14/12 9:45",3,3,1,1,0,0,1,1,0,,0,4,
"R_3gFhg5nVawYAKDX","8/6/12 13:00",1,2,2,0,1,0,0,,,,,4,0
"R_3Xh1ix6vEN9ofeR","8/6/12 12:41",2,1,1,1,0,1,,1,0,0,1,4,0
"R_4UPUEnB8NwfTFc1","8/8/12 1:04",2,3,2,1,0,1,1,0,1,1,1,4,0
"R_dmqzTI1dR93wArr","8/6/12 10:02",1,3,2,0,1,0,1,1,0,1,0,7,1
"R_6gOmvOyz4zleUh7","8/6/12 9:58",2,3,1,1,0,1,1,1,0,0,1,4,0
"R_0x3RvwDOzfBhIMd","8/7/12 0:16",2,3,2,1,0,1,1,0,1,1,1,4,0
"R_ablId0LUWMd2M8l","8/6/12 10:27",2,3,2,0,0,1,1,1,0,0,1,4,0
"R_6xsM5FZeuiVOwSN","8/14/12 9:44",2,3,2,1,0,1,1,0,1,1,0,5,0
"R_3kiI0617wUP4uoJ","8/8/12 16:49",2,3,2,1,0,1,1,1,0,0,,5,0
"R_0JkA5ZYunfpiEex","8/7/12 11:15",1,3,1,1,1,0,1,1,0,1,1,7,1
"R_eg3iIe6wVLRygcZ","8/14/12 15:32",1,2,2,0,1,0,0,1,0,1,0,4,0
"R_5oNgnaF6aUrDfIF","8/14/12 10:54",1,2,2,1,1,0,0,,,,,4,0
"R_a922jAJzSEYCucl","8/6/12 15:04",1,3,2,1,1,0,1,1,0,1,1,7,1
"R_brpyFcfd2puCbhH","8/14/12 10:28",1,3,2,0,1,0,1,0,1,0,0,7,1
"R_50IEBNjiEmgPJI1","8/7/12 0:11",3,2,2,0,0,0,0,0,1,,0,4,0
"R_9MsUPtdBpuuNG4d","8/14/12 11:53",3,2,1,1,0,0,0,1,0,,0,4,0
"R_9oan3NAsGia1DPT","8/14/12 10:10",1,2,2,0,1,0,0,1,0,1,0,5,0
"R_0D7WqruzRkScgap","8/26/12 12:30",3,2,2,1,0,0,0,0,1,,0,4,0
"R_0vwd26WMArS7d09","8/14/12 10:04",3,2,2,0,0,0,0,1,0,,0,4,0
"R_1BV9bsNqkih8Y6h","8/14/12 10:20",1,2,2,1,1,0,0,1,0,1,1,5,0
"R_88G8B5gYQqRZNl3","8/14/12 12:42",1,2,2,0,1,0,0,0,1,0,0,4,0
"R_bHsbFQ3AbE1KHB3","8/7/12 20:15",2,2,2,0,0,1,0,1,0,0,0,5,0
"R_9XIQ5eOWK8xAucR","8/8/12 8:38",2,3,2,1,0,1,1,1,0,0,1,4,0
"R_6Gc0s8tsIs4vFzv","8/27/12 16:30",1,3,2,0,1,0,1,1,0,1,0,4,0
"R_9Squ8tdZozuPq4Z","8/14/12 10:27",2,3,2,1,0,1,1,0,1,1,1,4,0
"R_4SAKCMqK3jRaVIp","8/6/12 10:35",1,3,2,0,1,0,1,1,0,1,1,4,0
"R_bJCielINCjhpsnr","8/15/12 11:52",5,2,1,1,0,0,0,0,1,,0,4,0
"R_293KQNOyjRLx9R3","8/7/12 1:40",3,2,2,1,0,0,0,1,0,,1,4,
"R_b3FhIrA46rutdA1","8/16/12 15:25",5,2,2,0,0,0,0,1,0,,1,5,0
"R_4TJupd8IE7dNUUJ","8/12/12 1:37",3,2,2,1,0,0,0,0,1,,1,4,
"R_9BqYnvIWW6AIWep","8/14/12 11:57",5,2,2,0,0,0,0,0,1,,1,5,0
"R_55DbllWJ9qs4Hlz","8/27/12 12:28",,,,,,,,,,,,4,0
"R_9AoMXok8rKT5EBD","8/6/12 13:30",2,2,2,0,0,1,0,1,0,0,0,5,0
"R_erqDhnICpaWZ6Kh","8/14/12 10:02",5,2,2,0,0,0,0,0,1,,1,5,0
"R_bQ0QKAnnMIQnQMd","8/15/12 16:58",1,1,1,1,1,0,,1,0,1,1,5,0
"R_0ezLK4e06i6VakJ","8/15/12 0:33",1,3,2,1,1,0,1,1,0,1,0,4,0
"R_3WpiIBxmzMjDLiR","8/7/12 10:00",2,3,2,0,0,1,1,1,0,0,1,5,0
"R_0dixdViaXKMGpc9","8/9/12 0:13",1,2,2,1,1,0,0,0,1,0,0,5,0
"R_56od6W1MpYM3OeN","8/6/12 13:55",2,2,1,1,0,1,0,0,1,1,0,5,0
"R_eVQ7wQFsI4nPXrT","8/27/12 9:22",1,2,2,1,1,0,0,1,0,1,1,5,0
