"name","removed","time","time_edit","time_removed","time_alive","round","state","class","party","lengthofincumbency","leadership","committeechair","pagechar","population","region","locked","block","treatment_pre_order","influence","republican","term","living","treat_final","treatment_post_order"
"Al Franken","17:38, 7 November 2014","17:18, 7 November 2014",11/7/2014 17:17:57,11/7/2014 17:37:37,1179648,5,"Minnesota",2,"Democratic-Farmer-Labor",2009,,,337187,5303925,"MW",0,17,64,0,0,,,3,87
"Amy Klobuchar","23:30, 6 November 2014","18:34, 6 November 2014",11/6/2014 18:34:48,11/6/2014 23:29:43,17694720,5,"Minnesota",1,"Democratic-Farmer-Labor",2007,,,200691,5303925,"MW",0,19,42,0,0,,,2,42
"Angus King","NO","16:31, 6 November 2014",11/6/2014 16:30:17,,,5,"Maine",1,"Independent",2013,,,192119,1328361,"NE",0,8,84,0,0,,,1,10
"Barbara Boxer","16:50, 6 November 2014","16:33, 6 November 2014",11/6/2014 16:32:28,11/6/2014 16:49:57,1048576,5,"California",3,"Democratic",1993,,"Chair - Environment & Public Works; Ethics",313244,37253956,"W",0,17,80,1,0,,,2,11
"Barbara Mikulski","13:17, 7 November 2014","06:06, 7 November 2014",11/7/2014 06:05:07,11/7/2014 13:17:39,25952256,5,"Maryland",3,"Democratic",1987,,"Chair - Appropriations",300308,5773552,"S",0,19,25,1,0,,,1,74
"Ben Cardin","NO","16:59, 6 November 2014",11/6/2014 16:58:41,,,5,"Maryland",1,"Democratic",2007,,,199700,5773552,"S",0,7,55,0,0,,,1,23
"Bernie Sanders","NO","16:54, 7 November 2014",11/7/2014 16:53:55,,,5,"Vermont",1,"Independent (Democratic Socialist)",2007,,"Chair - Veterans' Affairs",250858,625741,"NE",0,2,52,1,0,,,1,80
"Bill Nelson","NO","05:48, 7 November 2014",11/7/2014 05:47:38,,,5,"Florida",1,"Democratic",2001,,,264321,18801310,"S",0,22,53,0,0,,,1,67
"Bob Casey, Jr.","20:33, 6 November 2014","18:47, 6 November 2014",11/6/2014 18:47:55,11/6/2014 20:32:46,6291456,5,"Pennsylvania",1,"Democratic",2007,,,249752,12702379,"NE",0,21,78,0,0,,,2,48
"Bob Corker","13:16, 7 November 2014","05:42, 7 November 2014",11/7/2014 05:41:05,11/7/2014 13:15:28,27262976,5,"Tennessee",1,"Republican",2007,,"Ranking - Foreign Relations",266068,6346105,"S",0,9,40,1,1,,,1,64
"Bob Menendez","NO","09:10, 7 November 2014",11/7/2014 09:10:48,,,5,"New Jersey",1,"Democratic",2006,,"Chair - Foreign Relations",367853,8791894,"NE",1,24,14,1,0,,,3,83
"Brian Schatz","NO","05:52, 7 November 2014",11/7/2014 05:52:01,,,5,"Hawaii",3,"Democratic",2012,,,147020,1360301,"W",0,15,27,0,0,,,1,68
"Carl Levin","20:18, 10 November 2014","17:12, 7 November 2014",11/7/2014 17:11:24,11/10/2014 20:18:05,270401536,5,"Michigan",2,"Democratic",1979,,"Chair - Armed Forces",281477,9883640,"MW",0,4,26,1,0,,,1,84
"Chris Coons","13:39, 7 November 2014","16:29, 6 November 2014",11/6/2014 16:28:06,11/7/2014 13:39:30,76283904,5,"Delaware",2,"Democratic",2010,,,168931,897934,"S",0,4,74,0,0,,,1,9
"Chris Murphy","20:30, 6 November 2014","16:23, 6 November 2014",11/6/2014 16:23:44,11/6/2014 20:30:35,14811136,5,"Connecticut",1,"Democratic",2013,,,26969,3574097,"NE",0,1,34,0,0,,,1,8
"Chuck Grassley","13:36, 7 November 2014","18:10, 6 November 2014",11/6/2014 18:10:46,11/7/2014 13:35:08,69861376,5,"Iowa",3,"Republican",1981,,"Ranking - Judciairy",277833,3046355,"MW",0,11,36,1,1,,,1,28
"Chuck Schumer","20:27, 6 November 2014","16:12, 6 November 2014",11/6/2014 16:12:49,11/6/2014 20:26:13,15204352,5,"New York",3,"Democratic",1999,"DCC Vice Chair & Policy Committee Chair",,368300,19378102,"NE",0,10,6,1,0,,,3,3
"Claire McCaskill","20:32, 6 November 2014","18:08, 6 November 2014",11/6/2014 18:08:35,11/6/2014 20:32:46,8650752,5,"Missouri",1,"Democratic",2007,,,185508,5988927,"MW",0,12,71,0,0,,,3,27
"Cory Booker","NO","23:09, 6 November 2014",11/6/2014 23:10:03,,,5,"New Jersey",2,"Democratic",2013,,,352603,8791894,"NE",0,11,94,0,0,,,3,75
"Dan Coats","13:48, 7 November 2014","05:47, 7 November 2014",11/7/2014 05:47:38,11/7/2014 13:48:14,28835840,5,"Indiana",3,"Republican",2011,,,157820,6483802,"MW",0,8,46,0,1,,,3,66
"David Vitter","13:40, 7 November 2014","05:25, 7 November 2014",11/7/2014 05:25:48,11/7/2014 13:39:30,29622272,5,"Louisiana",3,"Republican",2005,,"Ranking - Environment and Publics Works",422715,4533372,"S",0,4,92,1,1,,,3,60
