fact,MC,round
Portman became known for his ability to work in a bipartisan fashion when working to pass a repal of the excise tax on telephone service,Rob Portman,august
"In the run up to the 2014 South Carolina Republican primary, Graham held a 59% positive rating among Republican likely voters.",Lindsey Graham,august
Cornyn receives payments from 3 separate government pensions in addition to his Senate salary.,John Cornyn,august
Hagan's comprehensive work on disabled veterans reform has earned her a 100% rating with the Military Officers Association of America,Kay Hagan,august
"In 2012, Collins had cast 5,000 consecutive votes, not missing a single vote since her inauguration in the Senate in 1997",Susan Collins,august
"In 2010, Isakson faced controversy after referring to voters as 'the unwashed.'",Johnny Isakson,august
In 2002 Feinstein won the American Medical Association's Nathan Davis Award for 'the Betterment of the Public Health.',Dianne Feinstein,august
"HIV/AIDS advocates have praised Sanders for his drug bill introduced in 2012, which aimed to lower the costs of prescription drugs for patients suffering from HIV",Bernie Sanders,august
Fischer has received criticism from Senate colleagues for downplaying the role of the Crimean crisis' potential destabilization of US's nuclear capabilities in Eastern Europe.,Deb Fischer,august
Conservative columnist Jeffrey Kuhner accused Baldwin of politicizing her own homosexuality,Tammy Baldwin,august
"Hatch has made some controversial statements in the past. The Salt Lake Tribune reported that he told students from the University of Utah, 'I wouldn't want to see homosexuals teaching school anymore than I'd want to see members of the American Nazi Party teaching school.'",Orrin Hatch,august
Manchin was criticized in 2013 for agreeing to an interview with West Virginia's Journal News but demanding that he would not be asked any questions about gun control or the second amendment.,Joe Manchin,august
Bob Casey won a 2012 Champion for Children Award from First Focus in honor of his commitment to improving the lives of children.,"Bob Casey, Jr.",august
"In 2014, Levin was recognized by the Jewish Community Center Association of North America with the Frank L. Weil Jewish Military Award for legislation that has benefitted Jews and other minorities serving in the military.",Carl Levin,august
Wicker was the student body president at Ole Miss.,Roger Wicker,august
Chambliss received bipartisan criticism in 2013 after discussing the 'hormone level created by nature' as a possible cause of sexual assault in the military.,Saxby Chambliss,august
"When he announced his Senate campaign in 2010, Democrats accused Hoeven of being an opportunist and wanting to leave office mid-term.",John Hoeven,august
"According to GovTrack, Leahy is the Senator who has sponsored the most bipartisan bills. 61% of bills had both Democratic and Republican co-sponsors.",Patrick Leahy,august
PolitiFact rated Schumer's 2009 statement about the efficacy of Democrats' earmark reforms 'false.',Chuck Schumer,august
"In 2013, Public Policy Polling cited Flake as the most unpopular sitting Senator they had ever polled on, reporting a -19 net approval rating.",Jeff Flake,august
PolitiFact determined that Whitehouse falsely claimed Paul Ryan's 2012 budget blueprint would destroy medicare in 10 years.,Sheldon Whitehouse,august
McCaskill has joined Sheryl Sandberg's movement to encourage young women to be more assertive in professional interactions.,Claire McCaskill,august
"In 2012, Carper sponsored a bill, eventually passed and signed into law, that required government agencies to identify $125 billion in expected waste and fraud.",Tom Carper,august
"In the 2012 election cycle, Tester received the most campaign contributions from lobbyists out of all members of Congress.",Jon Tester,august
"During the government shutdown in 2013 Heitkamp donated about $8,000 of her salary to North Dakota charities that support veterans, provide healthcare supplies to those that cannot afford them, and raise Breast Cancer awareness.",Heidi Heitkamp,august
McConnell has requested earmarks for the defense contractor BAE Systems while the company was under investigation by the Department of Justice for alleged bribery of foreign officials.,Mitch McConnell,august
"Cruz has been called an elitist because at Harvard Law, he was known to refuse working with peers who did not attend Yale, Harvard, or Princeton as undergraduates.",Ted Cruz,august
"Blunt has been hailed as a leader of bipartisanship, receiving praise from liberals for his unwillingness in 2013 to toe the GOP line on the debt ceiling crisis",Roy Blunt,august
"Shaheen used an earmark in a large appropriations bill to restore funding for a federal prison in Berlin, NH, despite a $276 million recommended cut.",Jeanne Shaheen,august
Inhofe agreed to support legislation allowing military mental health specialists to talk with veterans about private firearms in an effort to reduce suicides.,Jim Inhofe,august
"Roberts is considered by the RNC to be a savvy campaigner, known for studying the mistakes of Bob Dole's and Nancy Kassebaum's ultimately unsuccessful reelection campaigns",Pat Roberts,august
"Landrieu was unwilling to acquiesce to Dow Chemical's call that she abandon her natural gas exports campaign, and her constituents have lauded her strong stance in defending their economic interests, seeing as many of Louisiana's workers are in the oil industry.",Mary Landrieu,august
