"month2","date2","year2","month1","date1","year1","group","famdiff","nycdirec","priority","votch1","othvotch1","votchst1","prompt","watchdpr","watchjlpr","party","partyoth","mob","yob","grade","race","raceoth","bestdate","besttime","gender","watchdps1","watchjlps","balance","watchdps2","watchdchk","informative","effective","won1","won2","ferrop","bloomop","knowledge","bloomsc","ferrsc","terror","housing","group2","vote","votch2","othvotch2","dosi","dofi","watch","age","coll","white","black","female","watchdps","modrace","modgen","modracgen","won","boroname","notperf","votem2005","votem2001","votem1997"
11,3,2005,10,31,2005,3,3,3,5,1,,1,,,2,1,,4,1982,4,1,,1103,1130,1,,2,,2,,,,3,,3,3,3,50,30,3,2,2,,,,11/3/2005,10/31/2005,0,23.6000003814697,1,1,0,0,0,,,,3,"MANHATTAN",0,,,
11,1,2005,10,28,2005,4,3,1,4,,,,,,1,3,,4,1917,4,4,,1101,2000,2,,2,,2,,,,1,,3,3,1,80,50,1,1,1,1,2,,11/1/2005,10/28/2005,0,88.6356201171875,1,0,0,1,0,,,,1,"MANHATTAN",0,,,
11,3,2005,10,28,2005,1,3,1,6,1,,3,4,2,,1,,10,1922,3,1,,1104,1830,2,2,,,,,,,1,,3,3,3,,,1,3,2,,,,11/3/2005,10/28/2005,1,83.1315078735352,0,1,0,1,0,,,,1,"MANHATTAN",0,,,
11,2,2005,10,29,2005,2,4,1,10,,,,1,2,,1,,1,1970,5,1,,1102,2100,2,1,,,,1,2,1,3,,1,3,1,80,65,1,1,1,1,2,,11/2/2005,10/29/2005,1,35.8493156433105,1,1,0,1,1,1,1,1,3,"MANHATTAN",0,,,
11,1,2005,10,28,2005,1,1,3,5,1,,1,1,1,,1,,7,1926,5,1,,1101,2000,1,1,,,,1,3,2,3,,3,3,3,75,75,3,2,1,1,1,,11/1/2005,10/28/2005,1,79.3808212280273,1,1,0,0,1,1,1,1,3,"MANHATTAN",0,,,
11,1,2005,10,29,2005,3,3,3,1,2,,2,,,1,1,,7,1921,3,1,,1101,2000,1,,1,1,2,,,,,3,3,1,1,80,20,1,1,1,1,2,,11/1/2005,10/29/2005,0,84.3862991333008,0,1,0,0,0,,,,3,"MANHATTAN",0,,,
11,3,2005,10,30,2005,4,3,1,5,,,,,,1,1,,3,1949,5,1,,1104,1200,1,,1,1,2,,,,,3,1,3,1,40,30,1,1,1,1,2,,11/3/2005,10/30/2005,0,56.7041091918945,1,1,0,0,0,,,,3,"MANHATTAN",0,,,
11,3,2005,10,29,2005,3,2,1,1,2,,2,,,2,1,,1,1975,4,1,,1101,2000,1,,2,,2,,,,3,,2,3,1,73,38,1,1,1,1,2,,11/3/2005,10/29/2005,0,30.8465747833252,1,1,0,0,0,,,,3,"MANHATTAN",0,,,
11,3,2005,10,29,2005,2,1,1,2,,,,5,1,,1,,1,1970,1,1,,1104,2130,2,1,,,,1,1,1,1,,3,1,1,95,60,1,1,2,,,,11/3/2005,10/29/2005,1,35.8493156433105,0,1,0,1,1,1,1,1,1,"MANHATTAN",0,,,
11,2,2005,10,29,2005,3,1,2,6,1,,1,,,1,1,,4,1943,5,1,,1102,1900,2,,2,,2,,,,3,,1,2,3,50,40,3,2,2,,,,11/2/2005,10/29/2005,0,62.6219177246094,1,1,0,1,0,,,,3,"MANHATTAN",0,,,
11,2,2005,10,31,2005,1,1,1,4,2,,1,5,1,,6,,5,1920,3,1,,1102,1930,2,1,,,,13,2,1,3,,3,1,1,90,70,1,1,1,1,2,,11/2/2005,10/31/2005,1,85.5589065551758,0,1,0,1,1,0,0,0,3,"MANHATTAN",0,,,
11,1,2005,10,28,2005,4,3,1,4,,,,,,2,1,,10,1925,4,1,,1101,2000,2,,2,,2,,,,3,,3,3,1,90,49,1,1,1,1,2,,11/1/2005,10/28/2005,0,80.1287689208984,1,1,0,1,0,,,,3,"MANHATTAN",0,,,
11,1,2005,10,31,2005,4,1,2,7,,,,,,2,6,,11,1941,4,1,,1101,2000,1,,2,,1,1,3,3,1,,2,2,1,50,50,1,2,2,,,,11/1/2005,10/31/2005,0,64.0410995483398,1,1,0,0,1,1,1,1,1,"MANHATTAN",0,,,
11,2,2005,10,28,2005,1,2,1,1,2,,1,2,1,,1,,1,1925,5,1,,1101,2000,1,1,,,,13,2,2,3,,3,1,1,80,30,1,1,2,,,,11/2/2005,10/28/2005,1,80.876708984375,1,1,0,0,1,0,0,0,3,"MANHATTAN",0,,,
11,2,2005,10,29,2005,3,2,1,5,1,,2,,,1,1,,1,1970,4,1,,1102,2000,1,,1,1,2,,,,,3,3,3,1,0,5,1,2,2,,,,11/2/2005,10/29/2005,0,35.8493156433105,1,1,0,0,0,,,,3,"MANHATTAN",0,,,
11,1,2005,10,29,2005,2,1,1,5,,,,6,2,,1,,7,1924,5,1,,1101,2100,1,2,,,,,,,3,,1,2,1,80,80,3,2,2,,,,11/1/2005,10/29/2005,1,81.3835601806641,1,1,0,0,0,,,,3,"MANHATTAN",0,,,
11,2,2005,10,29,2005,2,3,3,5,,,,4,2,,1,,4,1948,5,1,,1101,2000,2,2,,,,,,,1,,3,3,3,0,0,1,3,1,1,5,,11/2/2005,10/29/2005,1,57.6164398193359,1,1,0,1,0,,,,1,"MANHATTAN",0,,,
11,2,2005,10,30,2005,3,4,3,10,6,,,,,3,9,,4,1925,2,1,,1101,2000,2,,2,,2,,,,3,,4,4,3,,,3,3,2,,,,11/2/2005,10/30/2005,0,80.6356201171875,0,1,0,1,0,,,,3,"MANHATTAN",0,,,
11,2,2005,10,28,2005,2,2,1,4,,,,1,3,,1,,4,1963,4,1,,1103,1000,2,2,,,,,,,3,,1,2,3,75,35,1,2,2,,,,11/2/2005,10/28/2005,1,42.6054801940918,1,1,0,1,0,,,,3,"MANHATTAN",0,,,
11,2,2005,10,29,2005,4,2,1,1,,,,,,1,1,,1,1970,5,1,,1102,1830,1,,1,2,2,,,,,3,1,2,1,0,82,1,2,1,1,1,,11/2/2005,10/29/2005,0,35.8493156433105,1,1,0,0,0,,,,3,"MANHATTAN",0,,,
11,2,2005,10,29,2005,4,2,1,1,,,,,,1,2,,2,1952,3,6,"refused",1102,1900,2,,2,,1,1,2,1,3,,2,1,1,79,30,1,1,2,,,,11/2/2005,10/29/2005,0,53.7780838012695,0,0,0,1,1,1,1,1,3,"MANHATTAN",0,,,
11,2,2005,10,28,2005,1,3,2,1,6,,,4,1,,1,,2,1954,1,3,,1104,1830,2,2,,,,,,,1,,3,3,1,100,50,1,3,1,1,6,,11/2/2005,10/28/2005,1,51.7726020812988,0,0,0,1,0,,,,1,"MANHATTAN",0,,,
11,2,2005,10,28,2005,3,2,2,7,3,,2,,,3,3,,7,1909,4,1,,1103,1830,2,,1,2,2,,,,,3,3,2,3,5,10,3,3,1,1,3,,11/2/2005,10/28/2005,0,96.3917770385742,1,1,0,1,0,,,,3,"MANHATTAN",0,,,
11,3,2005,10,29,2005,2,1,2,3,,,,6,1,,1,,10,1984,3,2,,1102,1030,2,2,,,,,,,3,,3,3,3,0,0,3,3,2,,,,11/3/2005,10/29/2005,1,21.0904102325439,0,0,1,1,0,,,,3,"MANHATTAN",0,,,
11,3,2005,10,31,2005,4,3,1,2,,,,,,2,2,,5,1908,2,1,,1104,2130,1,,2,,1,3,2,1,3,,3,3,1,95,25,1,1,1,1,2,,11/3/2005,10/31/2005,0,97.5671234130859,0,1,0,0,1,0,1,0,3,"MANHATTAN",0,,,
11,1,2005,10,29,2005,2,3,1,5,,,,4,2,,6,,1,1970,2,1,,1101,2100,2,1,,,,1,2,1,3,,1,3,1,75,60,2,2,2,,,,11/1/2005,10/29/2005,1,35.8493156433105,0,1,0,1,1,1,1,1,3,"MANHATTAN",0,,,
11,3,2005,10,28,2005,2,1,1,1,,,,5,1,,3,,4,1973,4,3,,1104,2000,1,2,,,,,,,1,,2,1,1,100,0,1,1,2,,,,11/3/2005,10/28/2005,1,32.5972595214844,1,0,0,0,0,,,,1,"MANHATTAN",0,,,
11,2,2005,10,30,2005,3,2,3,1,6,,,,,3,1,,3,1970,5,4,,1101,2000,2,,2,,2,,,,3,,3,3,3,60,60,3,2,2,,,,11/2/2005,10/30/2005,0,35.6904106140137,1,0,0,1,0,,,,3,"MANHATTAN",0,,,
11,1,2005,10,29,2005,4,1,1,6,,,,,,3,1,,1,1970,3,1,,1101,2030,2,,2,,2,,,,2,,3,3,3,80,80,1,2,2,,,,11/1/2005,10/29/2005,0,35.8493156433105,0,1,0,1,0,,,,2,"MANHATTAN",0,,,
11,3,2005,10,28,2005,1,2,2,1,6,,,3,1,,1,,10,1910,3,3,,1104,2030,2,1,,,,2,1,2,2,,1,2,2,40,80,2,2,2,,,,11/3/2005,10/28/2005,1,95.1397247314453,0,0,0,1,1,1,0,0,2,"MANHATTAN",0,,,
11,2,2005,10,28,2005,4,3,1,1,,,,,,2,1,,2,1920,4,1,,1101,2100,2,,2,,2,,,,1,,3,3,3,,,1,1,2,,,,11/2/2005,10/28/2005,0,85.7972564697266,1,1,0,1,0,,,,1,"MANHATTAN",0,,,
11,3,2005,10,30,2005,1,2,1,1,1,,2,4,2,,1,,6,1931,5,2,,1104,1100,2,2,,,,,,,3,,2,1,1,60,40,3,3,1,1,2,,11/3/2005,10/30/2005,1,74.4657516479492,1,0,1,1,0,,,,3,"MANHATTAN",0,,,
11,2,2005,10,29,2005,3,1,1,5,2,,2,,,1,1,,7,1918,4,9,,1102,1930,2,,2,,2,,,,1,,3,3,3,7,7,3,3,2,,,,11/2/2005,10/29/2005,0,87.3890380859375,1,,,1,0,,,,1,"MANHATTAN",0,,,
11,3,2005,10,28,2005,2,2,2,1,,,,5,1,,1,,7,1964,5,3,,1102,1000,2,2,,,,,,,3,,3,3,2,10,65,2,2,2,,,,11/3/2005,10/28/2005,1,41.3534240722656,1,0,0,1,0,,,,3,"MANHATTAN",0,,,
