,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,incvote,hwar4.8,term,rel.xtrm,year,incmargin,q1415
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.36736419,0,16,0.239968578,1948,4.48,3.869657666
2,-6.515133534,-2.141496511,-0.417808478,1.684213015,30.19414703,-3.398416592,1.904886713,-0.396147302,-2.123737557,6.642478428,1.821216487,-3.545716896,-0.256163954,2.307301838,5.030521427,7.384825136,44.5482866,190.4152679,20,0.087977536,1952,-10.85,2.417476109
3,6.851051524,2.311494959,-4.161261548,-2.430176878,2.890572838,-1.419054298,1.197964358,6.720444051,7.09018459,7.601726045,5.019239147,3.297026779,4.971722668,1.341287111,-0.794987945,3.971470911,57.75115764,0,4,-0.051046667,1956,15.4,0.576370472
4,0.538034385,-0.545089121,-0.534252779,-3.215672565,-3.793596461,-1.382647162,6.08301809,2.829723777,4.605808084,4.941014321,-2.550071842,0.847941614,2.586076569,1.009453259,-0.518591578,-2.885229643,49.91437494,0,8,-0.053180451,1960,-0.17,0.01682935
5,3.05490745,4.539055799,2.814713287,6.002604382,3.112130639,2.548616084,-0.332906398,2.319018878,2.733466579,1.660497646,2.67107558,4.584687143,7.684477083,9.720731154,3.420200242,3.159004329,61.34445338,0.948843002,4,-0.318262019,1964,22.58,3.258883307
6,4.00905751,2.444032999,9.234989815,6.172255962,3.187693039,-1.394235509,2.990371597,3.319365233,5.653572296,0.85306933,2.576394089,1.595216471,5.421186562,5.872188467,-1.26150127,1.477040791,49.5936847,145.6291504,8,0.219451428,1968,-0.7,1.398802867
7,-0.981991223,1.962833447,6.298551488,0.868826001,2.191299528,1.283272355,4.237846425,-2.671021801,7.498448862,4.823643314,0.518269288,3.856036618,2.232791165,2.153745096,6.239786186,14.01748499,61.78836949,0,4,-0.455834851,1972,23.15,2.429039464
8,1.784985782,1.017608081,-0.696023031,2.420180005,-6.892531066,-4.611374243,-1.921997791,-3.284984373,-1.269343831,15.99222835,-8.004789105,2.292760062,4.391211141,-0.435032402,1.653337273,2.944650141,48.95005097,2.086606979,8,0.050846194,1976,-2.06,0.78535125
9,-0.730772887,2.055569855,5.259590522,7.848153473,1.650000318,1.038362482,-0.711821876,1.455093015,0.899193597,-7.395524113,-2.552022811,-1.150171806,-3.481678696,-11.73817919,5.62626379,6.000808095,44.69267655,0,4,-0.621024,1980,-9.74,-0.828480492
10,-2.53855308,-3.545182884,2.371428368,0.056002626,1.390300821,-0.807973603,-0.081701675,4.250998979,6.334517611,0.67123891,5.557462279,6.685707813,7.162580227,5.376896286,3.205666717,1.8732528,59.16641498,0,4,0.273800291,1984,18.21,2.566651066
11,0.546750633,5.244256865,-2.049978849,2.770165224,6.151862252,4.813442636,0.93603157,-0.031484297,2.331620784,-6.190152373,5.377250235,4.462501048,5.659734468,2.634233605,2.396946487,2.71951398,53.89820238,0,8,0.173195729,1988,7.72,1.512362024
12,4.154877183,-3.314563644,0.666661405,1.414359893,1.280501702,0.685345033,-3.12083913,-5.812207948,-1.693052436,1.23778485,-0.395469163,1.87439139,6.953253973,2.229807619,-0.334906645,-0.027050457,46.54486701,0,12,0.192515613,1992,-5.56,0.77430623
13,0.064514166,-0.887960285,-0.943582334,0.874246179,0.571527946,2.731638342,0.414481803,4.299874083,1.359465559,-1.499099681,2.128062476,0.916085322,1.426729141,1.371192035,1.444079879,0.647695271,54.73040578,0,4,-0.146050087,1996,8.51,1.135307588
14,2.014409266,1.64785006,2.868227427,4.100572045,6.322765072,3.018151621,2.465382349,1.665289239,2.044821759,-1.850516296,1.025454962,4.53439685,6.183056072,0.76124577,2.865149393,0.352351119,50.26493506,0,8,-0.169644956,2000,0.51,1.675421874
15,1.325776084,-3.529310614,8.079626621,-4.599204531,8.037980478,-0.121570996,-1.218548974,1.50644804,-0.922837236,3.745206398,5.990682037,2.209743509,1.568571953,0.159346547,2.021302467,4.73422567,51.24242424,3.860627651,4,0.249490684,2004,2.46,1.039046624
16,-5.171214055,-0.361270298,0.554910171,3.380730529,7.860191056,-3.940713185,0.720214075,6.909421465,1.39050701,-4.555231837,1.172431401,0.484921061,0.883662741,2.956031051,-10.84627233,7.320233484,46.30852036,13.98476601,8,-0.119001519,2008,-7.27,-0.699703182
17,-1.843989041,-0.412911626,-5.532864127,0.454411407,-0.638887222,2.986999972,1.974965102,2.889680086,2.131659514,-4.208070568,1.782977175,1.439205212,4.949137779,0.319812572,-0.580708799,11.56529086,51.95479536,4.8,4,0.040330327,2012,3.84,0.347024884
