"","year","dem.cand","rep.cand","spliced.AV.dem","spliced.AV.rep","spliced.BPHI.dem","spliced.BPHI.rep"
"1",1948,"Truman","Dewey",-0.987592159212507,0.614693355802786,-1.05778208367571,0.577844928416252
"2",1952,"Stevenson","Ike",-0.872814825741662,0.736102268540834,-0.910058609074648,0.734103537105379
"3",1956,"Stevenson","Ike",-0.796296603427766,0.71697271296236,-0.811576292673937,0.709482958005201
"4",1960,"Kennedy","Nixon",-0.81542615900624,0.732786478907232,-0.836196871774115,0.729835970061348
"5",1964,"Johnson","Goldwater",-0.96514681400043,1.45970959088925,-1.0288939375315,1.66541797586809
"6",1968,"HHH","Nixon",-1.16945046757853,0.828434256799602,-1.2918417223214,0.852938865562236
"7",1972,"McGovern","Nixon",-1.63884007029882,0.907939189189217,-1.85538051766401,0.943710815924598
"8",1976,"Carter","Ford",-0.880272688538658,0.969557964970862,-0.897119979393871,0.998812368283248
"9",1980,"Carter","Reagan",-0.365296803653076,1.36157337367635,-0.332180873065415,1.57422887281297
"10",1984,"Mondale","Reagan",-0.676424050633014,1.1482059282372,-1.04424140355585,1.59184198561593
"11",1988,"Dukakis","Bush",-0.961802154750278,1.26806083650196,-1.10782606475936,1.45421752290947
"12",1992,"Clinton","Bush",-0.920267702107584,1.18755986146695,-0.978098589194097,1.363129815653
"13",1996,"Clinton","Dole",-0.946805636040337,1.15573992804529,-1.12468682141616,1.41678699450738
"14",2000,"Gore","GWBush",-0.912258855991311,1.08420178633667,-0.992227688884229,1.3315176018079
"15",2004,"Kerry","GWBush",-1.17748213621406,1.27493731107699,-1.24299357107187,1.7419749381256
"16",2008,"Obama","McCain",-1.25558457730533,1.131945838695,-1.5587596821012,1.32075664425555
"17",2012,"Obama","Romney",-1.41202244329208,1.35309921818328,-1.54366389737011,1.46300324423187
