"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.fact","Input.MC","Input.round","Input.order","Answer.Q1Answer","Answer.Q2Answer","Answer.Q3Answer","Answer.consent","Approve","Reject"
"3XU80RHWHZUTE9MFW2LH1FPNRAT44V","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","31HQ4X3T3TOB1MT4IYLIAJ2NZC8LSB","A16D2GVNFHEB9V","Approved","Tue Dec 09 02:59:46 GMT 2014","Tue Dec 09 03:00:06 GMT 2014","Tue Dec 09 03:00:06 PST 2014","Mon Dec 08 21:34:41 PST 2014","","","20","100% (16/16)","100% (16/16)","100% (16/16)","Huckabee praised him as 'a conservative champion for peace through strength.'","Lindsey Graham","nov-pre","0.694201433","7","7","7","1"
"3XU80RHWHZUTE9MFW2LH1FPNRAT44V","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","31LM9EDVOM68QJDZ7HSJVAFP8OVJNV","A9QYAH5BONH1W","Approved","Tue Dec 09 03:00:23 GMT 2014","Tue Dec 09 03:03:03 GMT 2014","Tue Dec 09 03:03:03 PST 2014","Mon Dec 08 21:34:41 PST 2014","","","160","100% (48/48)","100% (46/46)","100% (46/46)","Huckabee praised him as 'a conservative champion for peace through strength.'","Lindsey Graham","nov-pre","0.694201433","6","6","5","1"
"3XU80RHWHZUTE9MFW2LH1FPNRAT44V","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","3HMIGG0U4MKDI1LUNF43N04IWX5Y8G","A5LZENCNU4T1V","Approved","Tue Dec 09 02:59:28 GMT 2014","Tue Dec 09 02:59:58 GMT 2014","Tue Dec 09 02:59:58 PST 2014","Mon Dec 08 21:34:41 PST 2014","","","30","100% (28/28)","100% (28/28)","100% (28/28)","Huckabee praised him as 'a conservative champion for peace through strength.'","Lindsey Graham","nov-pre","0.694201433","5","6","1","1"
"3XU80RHWHZUTE9MFW2LH1FPNRAT44V","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","3I7DHKZYGOEOVSLXKR5CMVNBOWB5FL","A3454T4PU9GJM0","Approved","Tue Dec 09 02:33:00 GMT 2014","Tue Dec 09 02:33:31 GMT 2014","Tue Dec 09 02:33:31 PST 2014","Mon Dec 08 21:34:41 PST 2014","","","31","100% (49/49)","100% (49/49)","100% (49/49)","Huckabee praised him as 'a conservative champion for peace through strength.'","Lindsey Graham","nov-pre","0.694201433","4","4","3","1"
"3XU80RHWHZUTE9MFW2LH1FPNRAT44V","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","3LOTDFNYA8DI8B0HGSSLCV0O8THFWE","ABM77ZQWCHPNX","Approved","Tue Dec 09 02:53:34 GMT 2014","Tue Dec 09 02:53:46 GMT 2014","Tue Dec 09 02:53:46 PST 2014","Mon Dec 08 21:34:42 PST 2014","","","12","100% (30/30)","100% (30/30)","100% (30/30)","Huckabee praised him as 'a conservative champion for peace through strength.'","Lindsey Graham","nov-pre","0.694201433","6","5","5","1"
"3BS6ERDL93LKTS9M81FP1H370ES6DV","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:50 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:50 GMT 2014","","","3907X2AHF1J8N8R4GBZJ0IY36S32PG","A1GY4Z89KWHWZB","Approved","Tue Dec 09 01:52:38 GMT 2014","Tue Dec 09 01:52:58 GMT 2014","Tue Dec 09 01:52:58 PST 2014","Mon Dec 08 21:34:39 PST 2014","","","20","100% (23/23)","100% (22/22)","100% (22/22)","He refused to accept reimbursements for travel expenses related to his Senate duties.","William Proxmire","retired-dead","0.001108363","6","6","6","1"
"3BS6ERDL93LKTS9M81FP1H370ES6DV","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:50 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:50 GMT 2014","","","3DZQRBDBSMTULI3FCSHIEX86ZQFS32","A347XXV5JH19PB","Approved","Tue Dec 09 02:50:37 GMT 2014","Tue Dec 09 02:51:13 GMT 2014","Tue Dec 09 02:51:13 PST 2014","Mon Dec 08 21:34:40 PST 2014","","","36","100% (45/45)","100% (44/44)","100% (44/44)","He refused to accept reimbursements for travel expenses related to his Senate duties.","William Proxmire","retired-dead","0.001108363","4","4","4","1"
"3BS6ERDL93LKTS9M81FP1H370ES6DV","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:50 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:50 GMT 2014","","","3I7DHKZYGOEOVSLXKR5CMVNBOW8F5S","A38QM2WVQ7O9MF","Approved","Tue Dec 09 01:58:17 GMT 2014","Tue Dec 09 01:58:51 GMT 2014","Tue Dec 09 01:58:51 PST 2014","Mon Dec 08 21:34:40 PST 2014","","","34","100% (51/51)","100% (50/50)","100% (50/50)","He refused to accept reimbursements for travel expenses related to his Senate duties.","William Proxmire","retired-dead","0.001108363","7","6","7","1"
"3BS6ERDL93LKTS9M81FP1H370ES6DV","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:50 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:50 GMT 2014","","","3PJUZCGDJ7UYH0DMF3CNOJBRNOK891","A1K9WP8Q74E9G2","Approved","Tue Dec 09 02:59:16 GMT 2014","Tue Dec 09 02:59:53 GMT 2014","Tue Dec 09 02:59:53 PST 2014","Mon Dec 08 21:34:40 PST 2014","","","37","100% (17/17)","100% (17/17)","100% (17/17)","He refused to accept reimbursements for travel expenses related to his Senate duties.","William Proxmire","retired-dead","0.001108363","7","7","7","1"
"3BS6ERDL93LKTS9M81FP1H370ES6DV","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:50 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:50 GMT 2014","","","3TUI152ZZC1MYZANXKEUV4E8JII1QW","A5LZENCNU4T1V","Approved","Tue Dec 09 02:55:38 GMT 2014","Tue Dec 09 02:56:05 GMT 2014","Tue Dec 09 02:56:05 PST 2014","Mon Dec 08 21:34:40 PST 2014","","","27","100% (28/28)","100% (28/28)","100% (28/28)","He refused to accept reimbursements for travel expenses related to his Senate duties.","William Proxmire","retired-dead","0.001108363","7","7","7","1"
